transaction_id,customer_id,date,amount,type,status
T000067,C0051,2026-04-14,49,subscription,successful
T000068,C0056,2026-04-19,49,subscription,successful
T000069,C0057,2026-02-14,49,subscription,successful
T000070,C0057,2026-03-14,49,subscription,successful
T000071,C0057,2026-04-14,49,subscription,successful
T000072,C0063,2026-02-28,49,subscription,successful
T000073,C0063,2026-03-28,49,subscription,successful
T000074,C0063,2026-04-28,49,subscription,successful
T000075,C0066,2026-04-29,49,subscription,successful
T000076,C0069,2026-03-12,49,subscription,successful
T000077,C0069,2026-04-12,49,subscription,successful
T000078,C0073,2026-03-21,49,subscription,successful
T000079,C0073,2026-04-21,49,subscription,successful
T000080,C0074,2026-04-24,49,subscription,successful
T000081,C0076,2026-02-16,199,subscription,successful
T000082,C0076,2026-03-16,199,subscription,successful
T000083,C0076,2026-04-16,199,subscription,successful
T000084,C0078,2026-01-25,199,subscription,successful
T000085,C0078,2026-02-25,199,subscription,successful
T000086,C0078,2026-03-25,199,subscription,successful
T000087,C0078,2026-04-25,199,subscription,successful
T000088,C0079,2026-04-01,49,subscription,successful
T000089,C0082,2026-03-26,199,subscription,successful
T000090,C0082,2026-04-26,199,subscription,successful
T000091,C0085,2026-02-07,49,subscription,successful
T000092,C0085,2026-03-07,49,subscription,successful
T000093,C0085,2026-04-07,49,subscription,successful
T000094,C0086,2026-01-11,49,subscription,successful
T000095,C0086,2026-02-11,49,subscription,successful
T000096,C0086,2026-03-11,49,subscription,successful
T000097,C0086,2026-04-11,49,subscription,successful
T000098,C0088,2026-01-30,199,subscription,successful
T000099,C0088,2026-02-28,199,subscription,successful
T000100,C0088,2026-03-28,199,subscription,successful
T000101,C0088,2026-04-28,199,subscription,successful
T000102,C0089,2026-04-21,199,subscription,successful
T000103,C0097,2026-01-21,49,subscription,successful
T000104,C0097,2026-02-21,49,subscription,successful
T000105,C0097,2026-03-21,49,subscription,successful
T000106,C0097,2026-04-21,49,subscription,successful
T000107,C0101,2026-03-27,49,subscription,successful
T000108,C0101,2026-04-27,49,subscription,successful
T000109,C0102,2026-02-04,49,subscription,successful
T000110,C0102,2026-03-04,49,subscription,successful
T000111,C0102,2026-04-04,49,subscription,successful
T000112,C0105,2026-03-29,199,subscription,successful
T000113,C0105,2026-04-29,199,subscription,successful
T000114,C0107,2026-01-10,49,subscription,successful
T000115,C0107,2026-02-10,49,subscription,successful
T000116,C0107,2026-03-10,49,subscription,successful
T000117,C0107,2026-04-10,49,subscription,successful
T000118,C0110,2026-01-22,199,subscription,successful
T000119,C0110,2026-02-22,199,subscription,successful
T000120,C0110,2026-03-22,199,subscription,successful
T000121,C0110,2026-04-22,199,subscription,successful
T000122,C0111,2026-03-10,49,subscription,successful
T000123,C0111,2026-04-10,49,subscription,successful
T000124,C0115,2026-03-01,199,subscription,successful
T000125,C0115,2026-04-01,199,subscription,successful
T000126,C0116,2026-02-18,49,subscription,successful
T000127,C0116,2026-03-18,49,subscription,successful
T000128,C0116,2026-04-18,49,subscription,successful
T000129,C0123,2026-03-29,49,subscription,successful
T000130,C0123,2026-04-29,49,subscription,successful
T000131,C0124,2026-02-11,199,subscription,successful
T000132,C0124,2026-03-11,199,subscription,successful
T000133,C0124,2026-04-11,199,subscription,successful
T000134,C0127,2026-04-10,49,subscription,successful
T000135,C0128,2026-01-08,199,subscription,successful
T000136,C0128,2026-02-08,199,subscription,successful
T000137,C0128,2026-03-08,199,subscription,successful
T000138,C0128,2026-04-08,199,subscription,successful
T000139,C0136,2026-01-09,49,subscription,successful
T000140,C0136,2026-02-09,49,subscription,successful
T000141,C0136,2026-03-09,49,subscription,successful
T000142,C0136,2026-04-09,49,subscription,successful
T000143,C0138,2026-04-27,49,subscription,successful
T000144,C0141,2026-04-02,49,subscription,successful
T000145,C0142,2026-02-10,49,subscription,successful
T000146,C0142,2026-03-10,49,subscription,successful
T000147,C0142,2026-04-10,49,subscription,successful
T000148,C0144,2026-03-25,49,subscription,successful
T000149,C0144,2026-04-25,49,subscription,successful
T000150,C0146,2026-02-20,49,subscription,successful
T000151,C0146,2026-03-20,49,subscription,successful
T000152,C0146,2026-04-20,49,subscription,successful
T000153,C0148,2026-04-28,49,subscription,successful
T000154,C0149,2026-03-24,49,subscription,successful
T000155,C0149,2026-04-24,49,subscription,successful
T000156,C0151,2026-01-19,49,subscription,successful
T000157,C0151,2026-02-19,49,subscription,successful
T000158,C0151,2026-03-19,49,subscription,successful
T000159,C0151,2026-04-19,49,subscription,successful
T000160,C0152,2026-02-03,49,subscription,successful
T000161,C0152,2026-03-03,49,subscription,successful
T000162,C0152,2026-04-03,49,subscription,successful
T000163,C0153,2026-01-18,199,subscription,successful
T000164,C0153,2026-02-18,199,subscription,successful
T000165,C0153,2026-03-18,199,subscription,successful
T000166,C0153,2026-04-18,199,subscription,successful
T000167,C0154,2026-02-01,49,subscription,successful
T000168,C0154,2026-03-01,49,subscription,successful
T000169,C0154,2026-04-01,49,subscription,successful
T000170,C0156,2026-03-13,49,subscription,successful
T000171,C0156,2026-04-13,49,subscription,successful
T000172,C0160,2026-03-16,49,subscription,successful
T000173,C0160,2026-04-16,49,subscription,successful
T000174,C0161,2026-02-24,199,subscription,successful
T000175,C0161,2026-03-24,199,subscription,successful
T000176,C0161,2026-04-24,199,subscription,successful
T000177,C0163,2026-03-16,49,subscription,successful
T000178,C0163,2026-04-16,49,subscription,successful
T000179,C0164,2026-02-21,49,subscription,successful
T000180,C0164,2026-03-21,49,subscription,successful
T000181,C0164,2026-04-21,49,subscription,successful
T000182,C0166,2026-01-29,49,subscription,successful
T000183,C0166,2026-02-28,49,subscription,successful
T000184,C0166,2026-03-28,49,subscription,successful
T000185,C0166,2026-04-28,49,subscription,successful
T000186,C0170,2026-01-12,199,subscription,successful
T000187,C0170,2026-02-12,199,subscription,successful
T000188,C0170,2026-03-12,199,subscription,successful
T000189,C0170,2026-04-12,199,subscription,successful
T000190,C0172,2026-01-07,49,subscription,successful
T000191,C0172,2026-02-07,49,subscription,successful
T000192,C0172,2026-03-07,49,subscription,successful
T000193,C0172,2026-04-07,49,subscription,successful
T000194,C0179,2026-03-29,49,subscription,successful
T000195,C0179,2026-04-29,49,subscription,successful
T000196,C0181,2026-03-18,199,subscription,successful
T000197,C0181,2026-04-18,199,subscription,successful
T000198,C0185,2026-03-18,49,subscription,successful
T000199,C0185,2026-04-18,49,subscription,successful
T000200,C0187,2026-03-09,49,subscription,successful
T000201,C0187,2026-04-09,49,subscription,successful
T000202,C0188,2026-02-02,199,subscription,successful
T000203,C0188,2026-03-02,199,subscription,successful
T000204,C0188,2026-04-02,199,subscription,successful
T000205,C0189,2026-03-12,49,subscription,successful
T000206,C0189,2026-04-12,49,subscription,successful
T000207,C0190,2026-04-21,199,subscription,successful
T000208,C0191,2026-01-02,49,subscription,successful
T000209,C0191,2026-02-02,49,subscription,successful
T000210,C0191,2026-03-02,49,subscription,successful
T000211,C0191,2026-04-02,49,subscription,successful
T000212,C0195,2026-03-29,49,subscription,successful
T000213,C0195,2026-04-29,49,subscription,successful
T000214,C0196,2026-04-24,49,subscription,successful
T000215,C0197,2026-03-10,49,subscription,successful
T000216,C0197,2026-04-10,49,subscription,successful
T000217,C0199,2026-02-04,49,subscription,successful
T000218,C0199,2026-03-04,49,subscription,successful
T000219,C0199,2026-04-04,49,subscription,successful
T000220,C0200,2026-04-09,49,subscription,successful
T000221,C0201,2026-03-24,199,subscription,successful
T000222,C0201,2026-04-24,199,subscription,successful
T000223,C0202,2026-02-13,49,subscription,successful
T000224,C0202,2026-03-13,49,subscription,successful
T000225,C0202,2026-04-13,49,subscription,successful
T000226,C0207,2026-02-28,49,subscription,successful
T000227,C0207,2026-03-28,49,subscription,successful
T000228,C0207,2026-04-28,49,subscription,successful
T000229,C0211,2026-04-03,199,subscription,successful
T000230,C0212,2026-02-03,199,subscription,successful
T000231,C0212,2026-03-03,199,subscription,successful
T000232,C0212,2026-04-03,199,subscription,successful
T000233,C0213,2026-03-06,49,subscription,successful
T000234,C0213,2026-04-06,49,subscription,successful
T000235,C0214,2026-04-08,49,subscription,successful
T000236,C0215,2026-01-23,49,subscription,successful
T000237,C0215,2026-02-23,49,subscription,successful
T000238,C0215,2026-03-23,49,subscription,successful
T000239,C0215,2026-04-23,49,subscription,successful
T000240,C0216,2026-03-06,199,subscription,successful
T000241,C0216,2026-04-06,199,subscription,successful
T000242,C0218,2026-01-14,199,subscription,successful
T000243,C0218,2026-02-14,199,subscription,successful
T000244,C0218,2026-03-14,199,subscription,successful
T000245,C0218,2026-04-14,199,subscription,successful
T000246,C0220,2026-03-22,49,subscription,successful
T000247,C0220,2026-04-22,49,subscription,successful
T000248,C0222,2026-04-18,49,subscription,successful
T000249,C0225,2026-03-19,199,subscription,successful
T000250,C0225,2026-04-19,199,subscription,successful
T000251,C0227,2026-01-20,49,subscription,successful
T000252,C0227,2026-02-20,49,subscription,successful
T000253,C0227,2026-03-20,49,subscription,successful
T000254,C0227,2026-04-20,49,subscription,successful
T000255,C0228,2026-02-17,49,subscription,successful
T000256,C0228,2026-03-17,49,subscription,successful
T000257,C0228,2026-04-17,49,subscription,successful
T000258,C0229,2026-04-08,49,subscription,successful
T000259,C0230,2026-01-21,199,subscription,successful
T000260,C0230,2026-02-21,199,subscription,successful
T000261,C0230,2026-03-21,199,subscription,successful
T000262,C0230,2026-04-21,199,subscription,successful
T000263,C0231,2026-03-11,199,subscription,successful
T000264,C0231,2026-04-11,199,subscription,successful
T000265,C0232,2026-04-10,199,subscription,successful
T000266,C0233,2026-04-29,199,subscription,successful
T000267,C0235,2026-04-28,49,subscription,successful
T000268,C0238,2026-02-11,49,subscription,successful
T000269,C0238,2026-03-11,49,subscription,successful
T000270,C0238,2026-04-11,49,subscription,successful
T000271,C0240,2026-01-03,49,subscription,successful
T000272,C0240,2026-02-03,49,subscription,successful
T000273,C0240,2026-03-03,49,subscription,successful
T000274,C0240,2026-04-03,49,subscription,successful
T000275,C0241,2026-01-15,49,subscription,successful
T000276,C0241,2026-02-15,49,subscription,successful
T000277,C0241,2026-03-15,49,subscription,successful
T000278,C0241,2026-04-15,49,subscription,successful
T000279,C0243,2026-02-16,49,subscription,successful
T000280,C0243,2026-03-16,49,subscription,successful
T000281,C0243,2026-04-16,49,subscription,successful
T000282,C0244,2026-04-23,199,subscription,successful
T000283,C0250,2026-01-31,49,subscription,successful
T000284,C0250,2026-02-28,49,subscription,successful
T000285,C0250,2026-03-28,49,subscription,successful
T000286,C0250,2026-04-28,49,subscription,successful
T000287,C0252,2026-03-14,199,subscription,successful
T000288,C0252,2026-04-14,199,subscription,successful
T000289,C0253,2026-01-11,49,subscription,successful
T000290,C0253,2026-02-11,49,subscription,successful
T000291,C0253,2026-03-11,49,subscription,successful
T000292,C0253,2026-04-11,49,subscription,successful
T000293,C0255,2026-04-04,199,subscription,successful
T000294,C0256,2026-03-04,49,subscription,successful
T000295,C0256,2026-04-04,49,subscription,successful
T000296,C0257,2026-04-15,49,subscription,successful
T000297,C0258,2026-01-09,49,subscription,successful
T000298,C0258,2026-02-09,49,subscription,successful
T000299,C0258,2026-03-09,49,subscription,successful
T000300,C0258,2026-04-09,49,subscription,successful
T000301,C0259,2026-04-08,49,subscription,successful
T000302,C0261,2026-04-09,49,subscription,successful
T000303,C0266,2026-03-12,49,subscription,successful
T000304,C0266,2026-04-12,49,subscription,successful
T000305,C0268,2026-02-03,49,subscription,successful
T000306,C0268,2026-03-03,49,subscription,successful
T000307,C0268,2026-04-03,49,subscription,successful
T000308,C0270,2026-04-22,49,subscription,successful
T000309,C0271,2026-03-19,49,subscription,successful
T000310,C0271,2026-04-19,49,subscription,successful
T000311,C0275,2026-03-11,49,subscription,successful
T000312,C0275,2026-04-11,49,subscription,successful
T000313,C0276,2026-04-07,49,subscription,successful
T000314,C0277,2026-04-04,49,subscription,successful
T000315,C0278,2026-03-30,199,subscription,successful
T000316,C0278,2026-04-30,199,subscription,successful
T000317,C0279,2026-01-26,49,subscription,successful
T000318,C0279,2026-02-26,49,subscription,successful
T000319,C0279,2026-03-26,49,subscription,successful
T000320,C0279,2026-04-26,49,subscription,successful
T000321,C0281,2026-02-09,199,subscription,successful
T000322,C0281,2026-03-09,199,subscription,successful
T000323,C0281,2026-04-09,199,subscription,successful
T000324,C0283,2026-03-27,49,subscription,successful
T000325,C0283,2026-04-27,49,subscription,successful
T000326,C0285,2026-02-17,199,subscription,successful
T000327,C0285,2026-03-17,199,subscription,successful
T000328,C0285,2026-04-17,199,subscription,successful
T000329,C0286,2026-02-26,49,subscription,successful
T000330,C0286,2026-03-26,49,subscription,successful
T000331,C0286,2026-04-26,49,subscription,successful
T000332,C0287,2026-04-26,199,subscription,successful
T000333,C0288,2026-03-08,199,subscription,successful
T000334,C0288,2026-04-08,199,subscription,successful
T000335,C0289,2026-02-27,49,subscription,successful
T000336,C0289,2026-03-27,49,subscription,successful
T000337,C0289,2026-04-27,49,subscription,successful
T000338,C0290,2026-01-16,199,subscription,successful
T000339,C0290,2026-02-16,199,subscription,successful
T000340,C0290,2026-03-16,199,subscription,successful
T000341,C0290,2026-04-16,199,subscription,successful
T000342,C0292,2026-01-29,49,subscription,successful
T000343,C0292,2026-02-28,49,subscription,successful
T000344,C0292,2026-03-28,49,subscription,successful
T000345,C0292,2026-04-28,49,subscription,successful
T000346,C0293,2026-01-09,199,subscription,successful
T000347,C0293,2026-02-09,199,subscription,successful
T000348,C0293,2026-03-09,199,subscription,successful
T000349,C0293,2026-04-09,199,subscription,successful
T000350,C0294,2026-02-13,49,subscription,successful
T000351,C0294,2026-03-13,49,subscription,successful
T000352,C0294,2026-04-13,49,subscription,successful
T000353,C0295,2026-01-03,49,subscription,successful
T000354,C0295,2026-02-03,49,subscription,successful
T000355,C0295,2026-03-03,49,subscription,successful
T000356,C0295,2026-04-03,49,subscription,successful
T000357,C0296,2026-03-17,49,subscription,successful
T000358,C0296,2026-04-17,49,subscription,successful
T000359,C0299,2026-03-17,49,subscription,successful
T000360,C0299,2026-04-17,49,subscription,successful
T000361,C0301,2026-01-01,49,subscription,successful
T000362,C0301,2026-02-01,49,subscription,successful
T000363,C0301,2026-03-01,49,subscription,successful
T000364,C0301,2026-04-01,49,subscription,successful
T000365,C0303,2026-04-01,49,subscription,successful
T000366,C0304,2026-03-22,49,subscription,successful
T000367,C0304,2026-04-22,49,subscription,successful
T000368,C0306,2026-01-30,199,subscription,successful
T000369,C0306,2026-02-28,199,subscription,successful
T000370,C0306,2026-03-28,199,subscription,successful
T000371,C0306,2026-04-28,199,subscription,successful
T000372,C0307,2026-01-09,49,subscription,successful
T000373,C0307,2026-02-09,49,subscription,successful
T000374,C0307,2026-03-09,49,subscription,successful
T000375,C0307,2026-04-09,49,subscription,successful
T000376,C0308,2026-04-26,49,subscription,successful
T000377,C0309,2026-01-05,49,subscription,successful
T000378,C0309,2026-02-05,49,subscription,successful
T000379,C0309,2026-03-05,49,subscription,successful
T000380,C0309,2026-04-05,49,subscription,successful
T000381,C0311,2026-02-12,49,subscription,successful
T000382,C0311,2026-03-12,49,subscription,successful
T000383,C0311,2026-04-12,49,subscription,successful
T000384,C0312,2026-01-10,199,subscription,successful
T000385,C0312,2026-02-10,199,subscription,successful
T000386,C0312,2026-03-10,199,subscription,successful
T000387,C0312,2026-04-10,199,subscription,successful
T000388,C0314,2026-01-31,49,subscription,successful
T000389,C0314,2026-02-28,49,subscription,successful
T000390,C0314,2026-03-28,49,subscription,successful
T000391,C0314,2026-04-28,49,subscription,successful
T000392,C0316,2026-03-27,199,subscription,successful
T000393,C0316,2026-04-27,199,subscription,successful
T000394,C0317,2026-03-04,49,subscription,successful
T000395,C0317,2026-04-04,49,subscription,successful
T000396,C0321,2026-04-03,49,subscription,successful
T000397,C0322,2026-04-30,49,subscription,successful
T000398,C0323,2026-04-23,49,subscription,successful
T000399,C0327,2026-02-01,49,subscription,successful
T000400,C0327,2026-03-01,49,subscription,successful
T000401,C0327,2026-04-01,49,subscription,successful
T000402,C0328,2026-04-11,199,subscription,successful
T000403,C0329,2026-03-02,49,subscription,successful
T000404,C0329,2026-04-02,49,subscription,successful
T000405,C0331,2026-02-22,49,subscription,successful
T000406,C0331,2026-03-22,49,subscription,successful
T000407,C0331,2026-04-22,49,subscription,successful
T000408,C0332,2026-01-25,49,subscription,successful
T000409,C0332,2026-02-25,49,subscription,successful
T000410,C0332,2026-03-25,49,subscription,successful
T000411,C0332,2026-04-25,49,subscription,successful
T000412,C0336,2026-02-25,49,subscription,successful
T000413,C0336,2026-03-25,49,subscription,successful
T000414,C0336,2026-04-25,49,subscription,successful
T000415,C0337,2026-02-15,49,subscription,successful
T000416,C0337,2026-03-15,49,subscription,successful
T000417,C0337,2026-04-15,49,subscription,successful
T000418,C0339,2026-02-22,199,subscription,successful
T000419,C0339,2026-03-22,199,subscription,successful
T000420,C0339,2026-04-22,199,subscription,successful
T000421,C0340,2026-03-01,49,subscription,successful
T000422,C0340,2026-04-01,49,subscription,successful
T000423,C0341,2026-04-21,49,subscription,successful
T000424,C0344,2026-03-28,49,subscription,successful
T000425,C0344,2026-04-28,49,subscription,successful
T000426,C0345,2026-03-25,199,subscription,successful
T000427,C0345,2026-04-25,199,subscription,successful
T000428,C0347,2026-01-13,49,subscription,successful
T000429,C0347,2026-02-13,49,subscription,successful
T000430,C0347,2026-03-13,49,subscription,successful
T000431,C0347,2026-04-13,49,subscription,successful
T000432,C0348,2026-01-08,49,subscription,successful
T000433,C0348,2026-02-08,49,subscription,successful
T000434,C0348,2026-03-08,49,subscription,successful
T000435,C0348,2026-04-08,49,subscription,successful
T000436,C0355,2026-02-01,49,subscription,successful
T000437,C0355,2026-03-01,49,subscription,successful
T000438,C0355,2026-04-01,49,subscription,successful
T000439,C0356,2026-01-25,49,subscription,successful
T000440,C0356,2026-02-25,49,subscription,successful
T000441,C0356,2026-03-25,49,subscription,successful
T000442,C0356,2026-04-25,49,subscription,successful
T000443,C0358,2026-03-10,49,subscription,successful
T000444,C0358,2026-04-10,49,subscription,successful
T000445,C0361,2026-02-24,49,subscription,successful
T000446,C0361,2026-03-24,49,subscription,successful
T000447,C0361,2026-04-24,49,subscription,successful
T000448,C0363,2026-02-05,49,subscription,successful
T000449,C0363,2026-03-05,49,subscription,successful
T000450,C0363,2026-04-05,49,subscription,successful
T000451,C0364,2026-03-01,49,subscription,successful
T000452,C0364,2026-04-01,49,subscription,successful
T000453,C0365,2026-02-01,49,subscription,successful
T000454,C0365,2026-03-01,49,subscription,successful
T000455,C0365,2026-04-01,49,subscription,successful
T000456,C0366,2026-04-22,49,subscription,successful
T000457,C0367,2026-04-29,49,subscription,successful
T000458,C0368,2026-01-10,49,subscription,successful
T000459,C0368,2026-02-10,49,subscription,successful
T000460,C0368,2026-03-10,49,subscription,successful
T000461,C0368,2026-04-10,49,subscription,successful
T000462,C0369,2026-02-26,199,subscription,successful
T000463,C0369,2026-03-26,199,subscription,successful
T000464,C0369,2026-04-26,199,subscription,successful
T000465,C0371,2026-04-21,199,subscription,successful
T000466,C0372,2026-04-20,199,subscription,successful
T000467,C0375,2026-01-07,49,subscription,successful
T000468,C0375,2026-02-07,49,subscription,successful
T000469,C0375,2026-03-07,49,subscription,successful
T000470,C0375,2026-04-07,49,subscription,successful
T000471,C0376,2026-03-25,49,subscription,successful
T000472,C0376,2026-04-25,49,subscription,successful
T000473,C0383,2026-04-19,199,subscription,successful
T000474,C0385,2026-01-22,199,subscription,successful
T000475,C0385,2026-02-22,199,subscription,successful
T000476,C0385,2026-03-22,199,subscription,successful
T000477,C0385,2026-04-22,199,subscription,successful
T000478,C0386,2026-02-22,199,subscription,successful
T000479,C0386,2026-03-22,199,subscription,successful
T000480,C0386,2026-04-22,199,subscription,successful
T000481,C0387,2026-03-04,199,subscription,successful
T000482,C0387,2026-04-04,199,subscription,successful
T000483,C0391,2026-02-21,49,subscription,successful
T000484,C0391,2026-03-21,49,subscription,successful
T000485,C0391,2026-04-21,49,subscription,successful
T000486,C0393,2026-01-08,199,subscription,successful
T000487,C0393,2026-02-08,199,subscription,successful
T000488,C0393,2026-03-08,199,subscription,successful
T000489,C0393,2026-04-08,199,subscription,successful
T000490,C0395,2026-02-18,49,subscription,successful
T000491,C0395,2026-03-18,49,subscription,successful
T000492,C0395,2026-04-18,49,subscription,successful
T000493,C0396,2026-01-01,199,subscription,successful
T000494,C0396,2026-02-01,199,subscription,successful
T000495,C0396,2026-03-01,199,subscription,successful
T000496,C0396,2026-04-01,199,subscription,successful
T000497,C0400,2026-04-11,49,subscription,successful
T000498,C0401,2026-04-11,49,subscription,successful
T000499,C0403,2026-02-06,49,subscription,successful
T000500,C0403,2026-03-06,49,subscription,successful
T000501,C0403,2026-04-06,49,subscription,successful
T000502,C0405,2026-03-31,49,subscription,successful
T000503,C0405,2026-04-30,49,subscription,successful
T000504,C0410,2026-04-02,49,subscription,successful
T000505,C0413,2026-01-25,199,subscription,successful
T000506,C0413,2026-02-25,199,subscription,successful
T000507,C0413,2026-03-25,199,subscription,successful
T000508,C0413,2026-04-25,199,subscription,successful
T000509,C0414,2026-02-07,199,subscription,successful
T000510,C0414,2026-03-07,199,subscription,successful
T000511,C0414,2026-04-07,199,subscription,successful
T000512,C0419,2026-03-11,199,subscription,successful
T000513,C0419,2026-04-11,199,subscription,successful
T000514,C0420,2026-01-08,199,subscription,successful
T000515,C0420,2026-02-08,199,subscription,successful
T000516,C0420,2026-03-08,199,subscription,successful
T000517,C0420,2026-04-08,199,subscription,successful
T000518,C0421,2026-04-06,199,subscription,successful
T000519,C0422,2026-02-10,199,subscription,successful
T000520,C0422,2026-03-10,199,subscription,successful
T000521,C0422,2026-04-10,199,subscription,successful
T000522,C0428,2026-04-28,49,subscription,successful
T000523,C0430,2026-03-09,49,subscription,successful
T000524,C0430,2026-04-09,49,subscription,successful
T000525,C0432,2026-01-08,49,subscription,successful
T000526,C0432,2026-02-08,49,subscription,successful
T000527,C0432,2026-03-08,49,subscription,successful
T000528,C0432,2026-04-08,49,subscription,successful
T000529,C0433,2026-03-07,49,subscription,successful
T000530,C0433,2026-04-07,49,subscription,successful
T000531,C0434,2026-01-11,49,subscription,successful
T000532,C0434,2026-02-11,49,subscription,successful
T000533,C0434,2026-03-11,49,subscription,successful
T000534,C0434,2026-04-11,49,subscription,successful
T000535,C0435,2026-04-19,49,subscription,successful
T000536,C0436,2026-01-24,49,subscription,successful
T000537,C0436,2026-02-24,49,subscription,successful
T000538,C0436,2026-03-24,49,subscription,successful
T000539,C0436,2026-04-24,49,subscription,successful
T000540,C0439,2026-01-09,199,subscription,successful
T000541,C0439,2026-02-09,199,subscription,successful
T000542,C0439,2026-03-09,199,subscription,successful
T000543,C0439,2026-04-09,199,subscription,successful
T000544,C0440,2026-03-28,49,subscription,successful
T000545,C0440,2026-04-28,49,subscription,successful
T000546,C0441,2026-04-21,49,subscription,successful
T000547,C0445,2026-04-24,49,subscription,successful
T000548,C0446,2026-03-14,49,subscription,successful
T000549,C0446,2026-04-14,49,subscription,successful
T000550,C0448,2026-03-16,199,subscription,successful
T000551,C0448,2026-04-16,199,subscription,successful
T000552,C0449,2026-03-18,199,subscription,successful
T000553,C0449,2026-04-18,199,subscription,successful
T000554,C0450,2026-01-06,199,subscription,successful
T000555,C0450,2026-02-06,199,subscription,successful
T000556,C0450,2026-03-06,199,subscription,successful
T000557,C0450,2026-04-06,199,subscription,successful
T000558,C0451,2026-03-21,49,subscription,successful
T000559,C0451,2026-04-21,49,subscription,successful
T000560,C0457,2026-03-08,49,subscription,successful
T000561,C0457,2026-04-08,49,subscription,successful
T000562,C0461,2026-01-27,199,subscription,successful
T000563,C0461,2026-02-27,199,subscription,successful
T000564,C0461,2026-03-27,199,subscription,successful
T000565,C0461,2026-04-27,199,subscription,successful
T000566,C0462,2026-03-27,199,subscription,successful
T000567,C0462,2026-04-27,199,subscription,successful
T000568,C0464,2026-02-10,49,subscription,successful
T000569,C0464,2026-03-10,49,subscription,successful
T000570,C0464,2026-04-10,49,subscription,successful
T000571,C0465,2026-01-31,199,subscription,successful
T000572,C0465,2026-02-28,199,subscription,successful
T000573,C0465,2026-03-28,199,subscription,successful
T000574,C0465,2026-04-28,199,subscription,successful
T000575,C0468,2026-01-17,49,subscription,successful
T000576,C0468,2026-02-17,49,subscription,successful
T000577,C0468,2026-03-17,49,subscription,successful
T000578,C0468,2026-04-17,49,subscription,successful
T000579,C0469,2026-03-27,49,subscription,successful
T000580,C0469,2026-04-27,49,subscription,successful
T000581,C0472,2026-02-28,49,subscription,successful
