customer_id,plan,company_size,industry,country,acquisition_channel,activity_count,active_months,integration_failures,feature_usage_count,revenue,transaction_count,ticket_count,integration_ticket_count,avg_resolution_time,feedback_count
C0110,Business,119,E-commerce,India,Partner,204,4,6,61,796.0,4.0,1,0,10.58,4
C0111,Starter,92,SaaS,India,Organic,102,2,4,25,98.0,2.0,7,0,23.684285714285714,4
C0112,Free,5,SaaS,Germany,Partner,54,1,2,11,0.0,0.0,2,0,47.635000000000005,4
C0113,Free,5,Professional Services,United States,Organic,37,3,0,9,0.0,0.0,7,5,42.64857142857143,3
C0114,Free,20,IT Services,Canada,Organic,32,4,1,9,0.0,0.0,8,1,23.1,4
C0115,Business,66,E-commerce,India,Paid Ads,198,2,1,54,398.0,2.0,4,0,27.32,2
C0116,Starter,29,Professional Services,India,Sales,66,3,0,24,147.0,3.0,1,1,46.44,4
C0117,Free,24,IT Services,India,Organic,60,3,1,19,0.0,0.0,1,1,26.27,3
C0118,Free,45,IT Services,United States,Partner,48,1,0,16,0.0,0.0,8,1,39.7825,3
C0119,Free,13,Professional Services,India,Organic,41,2,2,10,0.0,0.0,7,2,41.08428571428571,1
C0120,Free,6,Marketing,Singapore,Organic,44,2,1,10,0.0,0.0,7,1,27.462857142857143,4
C0121,Free,8,SaaS,India,Sales,42,2,0,9,0.0,0.0,7,0,28.252857142857145,4
C0122,Free,2,SaaS,Australia,Organic,32,4,0,7,0.0,0.0,2,0,54.07,3
C0123,Starter,194,Professional Services,India,Paid Ads,104,2,0,21,98.0,2.0,4,1,50.78,4
C0124,Business,430,E-commerce,India,Referral,148,3,4,38,597.0,3.0,8,2,36.56125,2
C0125,Free,9,IT Services,United States,Organic,28,1,1,3,0.0,0.0,6,0,21.526666666666667,2
C0126,Free,7,E-commerce,United States,Referral,31,1,0,13,0.0,0.0,2,1,36.935,1
C0127,Starter,26,SaaS,United Kingdom,Paid Ads,52,1,2,10,49.0,1.0,6,1,33.90333333333333,3
C0128,Business,181,E-commerce,India,Referral,240,4,5,65,796.0,4.0,7,0,38.449999999999996,4
C0129,Free,29,E-commerce,Canada,Organic,32,4,1,9,0.0,0.0,7,1,30.562857142857144,1
C0130,Free,14,FinTech,Germany,Paid Ads,32,1,1,11,0.0,0.0,4,0,20.61,2
C0131,Free,7,Healthcare,India,Organic,20,4,0,4,0.0,0.0,3,1,29.623333333333335,3
C0132,Free,35,SaaS,India,Organic,39,1,0,9,0.0,0.0,4,1,36.3425,1
C0133,Free,627,FinTech,United States,Organic,27,3,1,7,0.0,0.0,4,1,51.8075,3
C0134,Free,6,Healthcare,United States,Referral,21,3,0,7,0.0,0.0,2,2,8.34,2
C0135,Free,9,IT Services,United States,Partner,21,3,0,3,0.0,0.0,8,1,35.98875,3
C0136,Starter,64,Education,United States,Organic,50,4,1,15,196.0,4.0,2,1,29.5,2
C0137,Free,1,FinTech,Canada,Paid Ads,36,4,1,10,0.0,0.0,8,3,36.27875,2
C0138,Starter,27,SaaS,India,Referral,119,1,2,30,49.0,1.0,5,1,37.3,4
C0139,Free,4,SaaS,Germany,Organic,56,2,1,13,0.0,0.0,5,1,35.316,4
C0140,Free,50,SaaS,India,Organic,52,1,1,10,0.0,0.0,2,0,36.555,4
C0141,Starter,39,FinTech,United States,Paid Ads,78,1,1,17,49.0,1.0,8,1,38.2125,3
C0142,Starter,4,E-commerce,United States,Organic,86,3,0,28,147.0,3.0,7,3,35.52571428571429,1
C0143,Free,6,E-commerce,United States,Paid Ads,39,4,1,9,0.0,0.0,5,1,32.928000000000004,2
C0144,Starter,10,SaaS,India,Paid Ads,48,2,0,9,98.0,2.0,6,2,29.673333333333332,3
C0145,Free,9,SaaS,Singapore,Organic,52,2,0,15,0.0,0.0,1,0,41.28,3
C0146,Starter,49,Healthcare,India,Referral,75,3,0,18,147.0,3.0,7,3,30.075714285714287,3
C0147,Free,4,E-commerce,Canada,Partner,24,1,1,5,0.0,0.0,8,2,34.4625,4
C0148,Starter,23,FinTech,United States,Paid Ads,66,1,1,15,49.0,1.0,5,1,33.872,2
C0149,Starter,126,E-commerce,India,Paid Ads,75,2,4,18,98.0,2.0,7,2,34.63,2
C0150,Free,8,E-commerce,India,Referral,24,3,0,4,0.0,0.0,4,1,25.6875,2
C0151,Starter,3,Healthcare,India,Partner,112,4,2,23,196.0,4.0,1,0,49.78,4
C0152,Starter,15,IT Services,United States,Organic,111,3,3,22,147.0,3.0,6,3,35.52333333333333,1
C0153,Business,98,Education,India,Organic,108,4,0,18,796.0,4.0,2,1,52.69,4
C0154,Starter,22,Education,United States,Paid Ads,73,3,3,19,147.0,3.0,2,1,62.300000000000004,3
C0155,Free,9,SaaS,United Kingdom,Referral,47,1,1,12,0.0,0.0,1,0,52.48,3
C0156,Starter,81,SaaS,United States,Partner,70,2,4,17,98.0,2.0,3,1,19.74,1
C0157,Free,7,E-commerce,India,Organic,52,2,0,13,0.0,0.0,3,2,8.866666666666667,2
C0158,Free,13,Professional Services,India,Referral,27,3,2,9,0.0,0.0,5,1,31.222,4
C0159,Free,38,Healthcare,India,Sales,35,1,1,7,0.0,0.0,3,0,43.32666666666666,2
C0160,Starter,5,E-commerce,Australia,Paid Ads,84,2,0,24,98.0,2.0,7,2,27.31142857142857,3
C0161,Business,770,SaaS,India,Paid Ads,111,3,0,27,597.0,3.0,5,2,44.936,3
C0162,Free,27,Education,India,Organic,23,1,1,7,0.0,0.0,8,1,32.973749999999995,1
C0163,Starter,19,E-commerce,India,Sales,78,2,0,19,98.0,2.0,8,1,33.365,4
C0164,Starter,21,SaaS,Canada,Referral,80,3,2,23,147.0,3.0,4,1,48.4425,1
C0165,Free,10,SaaS,United States,Paid Ads,30,3,0,7,0.0,0.0,3,1,56.42333333333334,4
C0166,Starter,116,Marketing,Canada,Sales,60,4,2,18,196.0,4.0,6,0,39.358333333333334,1
C0167,Free,1,IT Services,India,Paid Ads,48,4,1,15,0.0,0.0,1,0,6.26,2
C0168,Free,6,Healthcare,India,Partner,50,2,1,13,0.0,0.0,2,0,24.705,3
C0169,Free,170,SaaS,India,Partner,36,2,0,10,0.0,0.0,8,0,44.73125,3
C0170,Business,90,IT Services,India,Organic,236,4,7,59,796.0,4.0,5,2,45.588,1
C0171,Free,13,SaaS,India,Organic,56,1,0,17,0.0,0.0,5,1,33.402,2
C0172,Starter,3,Professional Services,India,Referral,60,4,2,16,196.0,4.0,5,1,41.424,2
C0173,Free,31,FinTech,India,Sales,42,1,1,9,0.0,0.0,8,0,35.106249999999996,3
C0174,Free,10,E-commerce,Canada,Referral,52,4,0,9,0.0,0.0,6,3,29.58666666666667,3
C0175,Free,64,Education,United States,Organic,20,4,0,3,0.0,0.0,6,1,33.725,1
C0176,Free,10,IT Services,Canada,Paid Ads,20,2,0,9,0.0,0.0,6,0,26.063333333333333,3
C0177,Free,5,Healthcare,Germany,Organic,36,4,1,7,0.0,0.0,2,0,13.9,2
C0178,Free,8,Healthcare,United States,Referral,25,1,0,6,0.0,0.0,4,0,35.7625,3
C0179,Starter,197,Healthcare,United States,Paid Ads,80,2,0,17,98.0,2.0,3,0,25.473333333333333,3
C0180,Free,9,E-commerce,India,Sales,51,3,0,14,0.0,0.0,4,3,50.85,4
C0181,Business,567,Healthcare,United States,Paid Ads,156,2,3,54,398.0,2.0,6,0,32.49333333333333,1
C0182,Free,2,E-commerce,India,Organic,60,4,0,15,0.0,0.0,6,1,38.27333333333333,4
C0183,Free,132,SaaS,United States,Organic,47,3,1,11,0.0,0.0,5,0,36.303999999999995,4
C0184,Free,44,FinTech,United States,Organic,30,3,0,8,0.0,0.0,5,0,40.086,1
C0185,Starter,25,SaaS,United States,Sales,112,2,1,24,98.0,2.0,2,0,16.845000000000002,1
C0186,Free,3,E-commerce,Australia,Organic,48,2,2,5,0.0,0.0,4,0,48.19,1
C0187,Starter,9,FinTech,United Kingdom,Paid Ads,96,2,3,22,98.0,2.0,6,4,47.29833333333334,3
C0188,Business,68,IT Services,United States,Partner,129,3,3,29,597.0,3.0,3,0,25.146666666666665,2
C0189,Starter,9,IT Services,India,Referral,102,2,3,30,98.0,2.0,1,0,17.61,2
C0190,Business,91,Education,India,Paid Ads,217,1,5,53,199.0,1.0,5,0,33.71,2
C0191,Starter,37,Healthcare,United Kingdom,Sales,116,4,0,30,196.0,4.0,5,2,24.45,1
C0192,Free,9,FinTech,Australia,Partner,20,2,0,4,0.0,0.0,8,2,50.07125,4
C0193,Free,45,Education,United States,Sales,32,1,1,4,0.0,0.0,1,1,8.0,3
C0194,Free,7,Professional Services,India,Organic,40,4,1,11,0.0,0.0,8,3,39.82875,1
C0195,Starter,2,Healthcare,Canada,Paid Ads,116,2,5,30,98.0,2.0,1,0,62.35,1
C0196,Starter,33,FinTech,Canada,Paid Ads,77,1,2,12,49.0,1.0,8,4,23.4725,2
C0197,Starter,4,SaaS,United States,Referral,70,2,2,20,98.0,2.0,7,0,34.167142857142856,2
C0198,Free,24,E-commerce,Canada,Paid Ads,39,1,0,10,0.0,0.0,8,0,23.502499999999998,2
C0199,Starter,135,Healthcare,India,Organic,66,3,0,13,147.0,3.0,7,1,29.7,2
C0200,Starter,135,Marketing,United States,Referral,105,1,1,25,49.0,1.0,5,1,49.364,4
C0201,Business,143,Marketing,United States,Referral,212,2,3,68,398.0,2.0,1,0,8.27,3
C0202,Starter,5,E-commerce,India,Sales,72,3,2,20,147.0,3.0,1,0,69.8,2
C0203,Free,4,IT Services,Singapore,Sales,40,4,1,8,0.0,0.0,1,0,2.75,1
C0204,Free,50,FinTech,United States,Referral,30,3,0,7,0.0,0.0,7,4,41.52428571428572,1
C0205,Free,9,Healthcare,Canada,Referral,21,3,1,4,0.0,0.0,2,0,53.15,4
C0206,Free,8,Marketing,Singapore,Organic,20,4,1,3,0.0,0.0,4,1,41.877500000000005,1
C0207,Starter,194,SaaS,United States,Organic,69,3,0,13,147.0,3.0,1,0,70.69,2
C0208,Free,11,E-commerce,United States,Referral,48,4,0,13,0.0,0.0,2,0,61.37,1
C0209,Free,2,E-commerce,India,Paid Ads,48,1,0,15,0.0,0.0,1,0,13.81,3
C0210,Free,6,E-commerce,India,Organic,45,1,1,15,0.0,0.0,1,0,29.27,1
C0211,Business,657,FinTech,India,Sales,147,1,0,32,199.0,1.0,6,0,16.923333333333332,3
C0212,Business,447,Healthcare,United States,Referral,246,3,10,55,597.0,3.0,1,1,54.5,1
C0213,Starter,113,Education,United States,Organic,69,2,2,16,98.0,2.0,2,0,41.555,2
C0214,Starter,13,E-commerce,United Kingdom,Referral,99,1,1,26,49.0,1.0,6,1,20.511666666666667,3
C0215,Starter,31,IT Services,United States,Organic,52,4,0,18,196.0,4.0,6,3,32.86666666666667,1
C0216,Business,148,Marketing,Canada,Referral,153,2,4,34,398.0,2.0,6,0,38.645,2
C0217,Free,2,Marketing,India,Sales,50,1,1,15,0.0,0.0,1,0,67.22,3
C0218,Business,149,Healthcare,India,Partner,248,4,8,59,796.0,4.0,4,0,35.745,4
C0219,Free,5,Healthcare,India,Organic,26,1,0,8,0.0,0.0,7,0,39.970000000000006,1
C0220,Starter,45,Professional Services,India,Referral,104,2,3,28,98.0,2.0,7,1,33.98714285714286,3
C0221,Free,29,E-commerce,Canada,Partner,21,3,0,2,0.0,0.0,6,0,34.76833333333333,2
C0222,Starter,12,E-commerce,Australia,Organic,107,1,1,28,49.0,1.0,6,3,29.596666666666664,3
C0223,Free,9,Professional Services,Canada,Partner,48,2,0,9,0.0,0.0,4,2,39.36,3
C0224,Free,6,E-commerce,India,Organic,46,2,1,6,0.0,0.0,1,0,66.41,2
C0225,Business,182,Healthcare,Australia,Referral,114,2,3,30,398.0,2.0,4,0,22.945,1
C0226,Free,9,Healthcare,United States,Referral,60,4,1,15,0.0,0.0,1,0,27.7,3
C0227,Starter,39,Education,India,Organic,112,4,2,32,196.0,4.0,2,0,43.005,1
C0228,Starter,8,IT Services,United States,Organic,108,3,3,35,147.0,3.0,3,1,58.35999999999999,1
C0229,Starter,1,Education,United States,Paid Ads,118,1,1,35,49.0,1.0,4,0,36.917500000000004,2
C0230,Business,504,IT Services,United States,Partner,228,4,5,61,796.0,4.0,6,0,46.031666666666666,4
C0231,Business,23,FinTech,United States,Referral,112,2,4,26,398.0,2.0,3,1,54.85333333333333,3
C0232,Business,529,E-commerce,India,Paid Ads,216,1,3,51,199.0,1.0,7,1,36.65571428571428,4
C0233,Business,727,Professional Services,India,Organic,245,1,7,56,199.0,1.0,7,0,33.425714285714285,2
C0234,Free,2,FinTech,India,Referral,22,2,1,4,0.0,0.0,4,1,34.85,4
C0235,Starter,2,FinTech,India,Referral,99,1,0,34,49.0,1.0,1,0,25.8,3
C0236,Free,3,Professional Services,Australia,Paid Ads,52,4,1,13,0.0,0.0,4,1,33.2925,4
C0237,Free,9,Professional Services,United States,Sales,42,2,0,15,0.0,0.0,5,0,48.784,4
C0238,Starter,187,Marketing,India,Organic,72,3,1,18,147.0,3.0,8,1,44.59875,1
C0239,Free,11,Marketing,United States,Organic,46,2,3,11,0.0,0.0,2,1,46.07,4
C0240,Starter,67,Education,Canada,Organic,92,4,2,21,196.0,4.0,5,0,41.006,3
C0241,Starter,24,E-commerce,United Kingdom,Organic,64,4,2,22,196.0,4.0,2,1,50.525000000000006,1
C0242,Free,24,E-commerce,India,Organic,13,1,1,3,0.0,0.0,4,1,26.994999999999997,4
C0243,Starter,38,Healthcare,India,Partner,114,3,0,24,147.0,3.0,4,2,34.44,3
C0244,Business,17,Professional Services,United States,Organic,154,1,3,39,199.0,1.0,1,0,50.77,3
C0245,Free,24,Marketing,India,Paid Ads,35,1,2,8,0.0,0.0,8,4,46.08375,2
C0246,Free,9,FinTech,Australia,Organic,29,1,1,9,0.0,0.0,7,3,26.797142857142855,1
C0247,Free,38,Healthcare,India,Organic,21,3,1,5,0.0,0.0,5,1,44.914,4
C0248,Free,2,Healthcare,Germany,Referral,24,4,1,10,0.0,0.0,4,0,57.3875,2
C0249,Free,20,IT Services,United States,Organic,52,4,1,13,0.0,0.0,7,0,29.580000000000002,4
C0250,Starter,1,E-commerce,India,Partner,68,4,2,11,196.0,4.0,1,0,10.86,2
C0251,Free,8,FinTech,Germany,Referral,48,1,4,12,0.0,0.0,4,2,45.685,4
C0252,Business,135,Marketing,India,Paid Ads,122,2,0,25,398.0,2.0,3,0,47.370000000000005,4
C0253,Starter,60,SaaS,United Kingdom,Organic,72,4,3,10,196.0,4.0,5,1,39.114,4
C0254,Free,2,SaaS,United States,Sales,40,4,0,13,0.0,0.0,4,1,44.1025,3
C0255,Business,69,Professional Services,United States,Organic,166,1,3,39,199.0,1.0,8,1,35.426249999999996,2
C0256,Starter,1,SaaS,United States,Organic,70,2,2,17,98.0,2.0,2,1,17.125,3
C0257,Starter,22,Professional Services,United States,Sales,53,1,0,15,49.0,1.0,2,0,61.04,3
C0258,Starter,5,Education,India,Referral,80,4,1,22,196.0,4.0,5,2,41.332,1
C0259,Starter,193,Marketing,India,Referral,104,1,2,22,49.0,1.0,4,0,30.575,1
C0260,Free,2,FinTech,United States,Organic,48,2,6,9,0.0,0.0,2,0,25.06,2
C0261,Starter,198,IT Services,United Kingdom,Referral,104,1,3,21,49.0,1.0,3,0,29.036666666666665,4
C0262,Free,4,FinTech,India,Partner,32,4,2,6,0.0,0.0,1,0,33.95,3
C0263,Free,5,Healthcare,India,Paid Ads,32,4,2,6,0.0,0.0,8,1,22.08625,1
C0264,Free,37,FinTech,Canada,Organic,56,2,1,11,0.0,0.0,5,0,32.404,3
C0265,Free,7,SaaS,Australia,Organic,34,2,0,12,0.0,0.0,5,0,34.702,3
C0266,Starter,8,Marketing,India,Organic,50,2,3,15,98.0,2.0,8,1,40.735,1
C0267,Free,7,FinTech,Canada,Paid Ads,32,4,0,7,0.0,0.0,5,2,32.971999999999994,4
C0268,Starter,161,SaaS,India,Organic,69,3,1,18,147.0,3.0,3,0,32.36,3
C0269,Free,31,IT Services,India,Organic,30,2,0,6,0.0,0.0,6,1,25.87166666666667,3
C0270,Starter,12,FinTech,United Kingdom,Referral,82,1,2,19,49.0,1.0,8,2,33.77125,4
C0271,Starter,150,FinTech,Australia,Referral,76,2,0,19,98.0,2.0,1,0,70.56,4
C0272,Free,2,SaaS,United States,Referral,45,3,2,8,0.0,0.0,3,1,43.42333333333334,2
C0273,Free,187,FinTech,United Kingdom,Referral,24,4,2,6,0.0,0.0,6,1,34.165,4
C0274,Free,1,E-commerce,Australia,Organic,43,1,0,6,0.0,0.0,6,4,31.896666666666665,3
C0275,Starter,50,Education,United States,Partner,104,2,2,22,98.0,2.0,1,0,19.8,1
C0276,Starter,15,SaaS,United States,Paid Ads,41,1,0,10,49.0,1.0,3,1,46.126666666666665,2
