customer_id,signup_date,country,industry,company_size,plan,acquisition_channel
C0064,2026-03-10,India,FinTech,49,Free,Organic
C0065,2026-01-16,United States,Education,4,Free,Referral
C0066,2026-04-29,Australia,Education,121,Starter,Paid Ads
C0067,2026-02-18,United States,SaaS,7,Free,Referral
C0068,2026-01-11,United States,Education,6,Free,Organic
C0069,2026-03-12,India,Healthcare,29,Starter,Referral
C0070,2026-02-07,India,Healthcare,8,Free,Partner
C0071,2026-04-17,United States,SaaS,19,Free,Referral
C0072,2026-03-22,United States,Education,86,Free,Referral
C0073,2026-03-21,India,IT Services,7,Starter,Sales
C0074,2026-04-24,United States,FinTech,49,Starter,Paid Ads
C0075,2026-04-21,United Kingdom,Professional Services,9,Free,Organic
C0076,2026-02-16,United States,SaaS,30,Business,Organic
C0077,2026-03-15,India,IT Services,46,Free,Organic
C0078,2026-01-25,India,SaaS,6,Business,Paid Ads
C0079,2026-04-01,United States,Professional Services,192,Starter,Referral
C0080,2026-01-09,India,Marketing,4,Free,Referral
C0081,2026-01-06,United Kingdom,FinTech,102,Free,Paid Ads
C0082,2026-03-26,India,FinTech,104,Business,Referral
C0083,2026-01-30,United States,Healthcare,10,Free,Organic
C0084,2026-04-09,India,Education,29,Free,Organic
C0085,2026-02-07,Singapore,SaaS,6,Starter,Referral
C0086,2026-01-11,United States,IT Services,3,Starter,Organic
C0087,2026-04-20,India,Healthcare,22,Free,Referral
C0088,2026-01-30,United States,Education,179,Business,Sales
C0089,2026-04-21,India,FinTech,189,Business,Organic
C0090,2026-01-13,India,FinTech,6,Free,Referral
C0091,2026-02-18,United Kingdom,IT Services,2,Free,Organic
C0092,2026-02-05,India,E-commerce,6,Free,Sales
C0093,2026-02-28,United Kingdom,E-commerce,46,Free,Organic
C0094,2026-03-23,Germany,Education,8,Free,Referral
C0095,2026-04-17,United Kingdom,SaaS,200,Free,Paid Ads
C0096,2026-02-16,India,E-commerce,10,Free,Partner
C0097,2026-01-21,United Kingdom,E-commerce,7,Starter,Referral
C0098,2026-02-17,India,FinTech,9,Free,Partner
C0099,2026-02-15,United States,SaaS,5,Free,Organic
C0100,2026-01-27,Canada,IT Services,159,Free,Organic
C0101,2026-03-27,United States,FinTech,11,Starter,Organic
C0102,2026-02-04,Singapore,Professional Services,44,Starter,Organic
C0103,2026-03-31,Australia,FinTech,2,Free,Referral
C0104,2026-04-30,India,E-commerce,12,Free,Organic
C0105,2026-03-29,India,Marketing,591,Business,Paid Ads
C0106,2026-03-24,India,Healthcare,3,Free,Sales
C0107,2026-01-10,United Kingdom,SaaS,14,Starter,Partner
C0108,2026-03-19,India,FinTech,1,Free,Referral
C0109,2026-03-23,India,SaaS,4,Free,Referral
C0110,2026-01-22,India,E-commerce,119,Business,Partner
C0111,2026-03-10,India,SaaS,92,Starter,Organic
C0112,2026-04-04,Germany,SaaS,5,Free,Partner
C0113,2026-02-01,United States,Professional Services,5,Free,Organic
C0114,2026-01-21,Canada,IT Services,20,Free,Organic
C0115,2026-03-01,India,E-commerce,66,Business,Paid Ads
C0116,2026-02-18,India,Professional Services,29,Starter,Sales
C0117,2026-02-04,India,IT Services,24,Free,Organic
C0118,2026-04-29,United States,IT Services,45,Free,Partner
C0119,2026-03-23,India,Professional Services,13,Free,Organic
C0120,2026-03-30,Singapore,Marketing,6,Free,Organic
C0121,2026-03-13,India,SaaS,8,Free,Sales
C0122,2026-01-29,Australia,SaaS,2,Free,Organic
C0123,2026-03-29,India,Professional Services,194,Starter,Paid Ads
C0124,2026-02-11,India,E-commerce,430,Business,Referral
C0125,2026-04-18,United States,IT Services,9,Free,Organic
C0126,2026-04-09,United States,E-commerce,7,Free,Referral
C0127,2026-04-10,United Kingdom,SaaS,26,Starter,Paid Ads
C0128,2026-01-08,India,E-commerce,181,Business,Referral
C0129,2026-01-30,Canada,E-commerce,29,Free,Organic
C0130,2026-04-16,Germany,FinTech,14,Free,Paid Ads
C0131,2026-01-05,India,Healthcare,7,Free,Organic
C0132,2026-04-14,India,SaaS,35,Free,Organic
C0133,2026-02-10,United States,FinTech,627,Free,Organic
C0134,2026-02-21,United States,Healthcare,6,Free,Referral
C0135,2026-02-04,United States,IT Services,9,Free,Partner
C0136,2026-01-09,United States,Education,64,Starter,Organic
C0137,2026-01-28,Canada,FinTech,1,Free,Paid Ads
C0138,2026-04-27,India,SaaS,27,Starter,Referral
C0139,2026-03-14,Germany,SaaS,4,Free,Organic
C0140,2026-04-23,India,SaaS,50,Free,Organic
C0141,2026-04-02,United States,FinTech,39,Starter,Paid Ads
C0142,2026-02-10,United States,E-commerce,4,Starter,Organic
C0143,2026-01-28,United States,E-commerce,6,Free,Paid Ads
C0144,2026-03-25,India,SaaS,10,Starter,Paid Ads
C0145,2026-03-05,Singapore,SaaS,9,Free,Organic
C0146,2026-02-20,India,Healthcare,49,Starter,Referral
C0147,2026-04-24,Canada,E-commerce,4,Free,Partner
C0148,2026-04-28,United States,FinTech,23,Starter,Paid Ads
C0149,2026-03-24,India,E-commerce,126,Starter,Paid Ads
C0150,2026-02-28,India,E-commerce,8,Free,Referral
C0151,2026-01-19,India,Healthcare,3,Starter,Partner
C0152,2026-02-03,United States,IT Services,15,Starter,Organic
C0153,2026-01-18,India,Education,98,Business,Organic
C0154,2026-02-01,United States,Education,22,Starter,Paid Ads
C0155,2026-04-06,United Kingdom,SaaS,9,Free,Referral
C0156,2026-03-13,United States,SaaS,81,Starter,Partner
C0157,2026-03-10,India,E-commerce,7,Free,Organic
C0158,2026-02-03,India,Professional Services,13,Free,Referral
C0159,2026-04-06,India,Healthcare,38,Free,Sales
C0160,2026-03-16,Australia,E-commerce,5,Starter,Paid Ads
C0161,2026-02-24,India,SaaS,770,Business,Paid Ads
C0162,2026-04-25,India,Education,27,Free,Organic
C0163,2026-03-16,India,E-commerce,19,Starter,Sales
C0164,2026-02-21,Canada,SaaS,21,Starter,Referral
C0165,2026-02-16,United States,SaaS,10,Free,Paid Ads
C0166,2026-01-29,Canada,Marketing,116,Starter,Sales
C0167,2026-01-18,India,IT Services,1,Free,Paid Ads
C0168,2026-03-07,India,Healthcare,6,Free,Partner
C0169,2026-03-05,India,SaaS,170,Free,Partner
C0170,2026-01-12,India,IT Services,90,Business,Organic
C0171,2026-04-07,India,SaaS,13,Free,Organic
C0172,2026-01-07,India,Professional Services,3,Starter,Referral
C0173,2026-04-21,India,FinTech,31,Free,Sales
C0174,2026-01-15,Canada,E-commerce,10,Free,Referral
C0175,2026-01-20,United States,Education,64,Free,Organic
C0176,2026-03-22,Canada,IT Services,10,Free,Paid Ads
C0177,2026-01-21,Germany,Healthcare,5,Free,Organic
C0178,2026-04-12,United States,Healthcare,8,Free,Referral
C0179,2026-03-29,United States,Healthcare,197,Starter,Paid Ads
C0180,2026-02-24,India,E-commerce,9,Free,Sales
C0181,2026-03-18,United States,Healthcare,567,Business,Paid Ads
C0182,2026-01-09,India,E-commerce,2,Free,Organic
C0183,2026-02-19,United States,SaaS,132,Free,Organic
C0184,2026-02-18,United States,FinTech,44,Free,Organic
C0185,2026-03-18,United States,SaaS,25,Starter,Sales
C0186,2026-03-01,Australia,E-commerce,3,Free,Organic
C0187,2026-03-09,United Kingdom,FinTech,9,Starter,Paid Ads
C0188,2026-02-02,United States,IT Services,68,Business,Partner
C0189,2026-03-12,India,IT Services,9,Starter,Referral
C0190,2026-04-21,India,Education,91,Business,Paid Ads
C0191,2026-01-02,United Kingdom,Healthcare,37,Starter,Sales
C0192,2026-03-29,Australia,FinTech,9,Free,Partner
C0193,2026-04-03,United States,Education,45,Free,Sales
C0194,2026-01-15,India,Professional Services,7,Free,Organic
C0195,2026-03-29,Canada,Healthcare,2,Starter,Paid Ads
C0196,2026-04-24,Canada,FinTech,33,Starter,Paid Ads
C0197,2026-03-10,United States,SaaS,4,Starter,Referral
C0198,2026-04-07,Canada,E-commerce,24,Free,Paid Ads
C0199,2026-02-04,India,Healthcare,135,Starter,Organic
C0200,2026-04-09,United States,Marketing,135,Starter,Referral
C0201,2026-03-24,United States,Marketing,143,Business,Referral
C0202,2026-02-13,India,E-commerce,5,Starter,Sales
C0203,2026-01-15,Singapore,IT Services,4,Free,Sales
C0204,2026-02-07,United States,FinTech,50,Free,Referral
C0205,2026-02-25,Canada,Healthcare,9,Free,Referral
C0206,2026-01-21,Singapore,Marketing,8,Free,Organic
C0207,2026-02-28,United States,SaaS,194,Starter,Organic
C0208,2026-01-01,United States,E-commerce,11,Free,Referral
C0209,2026-04-03,India,E-commerce,2,Free,Paid Ads
C0210,2026-04-23,India,E-commerce,6,Free,Organic
C0211,2026-04-03,India,FinTech,657,Business,Sales
C0212,2026-02-03,United States,Healthcare,447,Business,Referral
C0213,2026-03-06,United States,Education,113,Starter,Organic
C0214,2026-04-08,United Kingdom,E-commerce,13,Starter,Referral
C0215,2026-01-23,United States,IT Services,31,Starter,Organic
C0216,2026-03-06,Canada,Marketing,148,Business,Referral
C0217,2026-04-27,India,Marketing,2,Free,Sales
C0218,2026-01-14,India,Healthcare,149,Business,Partner
C0219,2026-04-22,India,Healthcare,5,Free,Organic
C0220,2026-03-22,India,Professional Services,45,Starter,Referral
C0221,2026-02-08,Canada,E-commerce,29,Free,Partner
C0222,2026-04-18,Australia,E-commerce,12,Starter,Organic
C0223,2026-03-23,Canada,Professional Services,9,Free,Partner
C0224,2026-03-06,India,E-commerce,6,Free,Organic
C0225,2026-03-19,Australia,Healthcare,182,Business,Referral
C0226,2026-01-26,United States,Healthcare,9,Free,Referral
C0227,2026-01-20,India,Education,39,Starter,Organic
C0228,2026-02-17,United States,IT Services,8,Starter,Organic
C0229,2026-04-08,United States,Education,1,Starter,Paid Ads
C0230,2026-01-21,United States,IT Services,504,Business,Partner
C0231,2026-03-11,United States,FinTech,23,Business,Referral
C0232,2026-04-10,India,E-commerce,529,Business,Paid Ads
C0233,2026-04-29,India,Professional Services,727,Business,Organic
C0234,2026-03-09,India,FinTech,2,Free,Referral
C0235,2026-04-28,India,FinTech,2,Starter,Referral
C0236,2026-01-01,Australia,Professional Services,3,Free,Paid Ads
C0237,2026-03-18,United States,Professional Services,9,Free,Sales
C0238,2026-02-11,India,Marketing,187,Starter,Organic
C0239,2026-03-04,United States,Marketing,11,Free,Organic
C0240,2026-01-03,Canada,Education,67,Starter,Organic
C0241,2026-01-15,United Kingdom,E-commerce,24,Starter,Organic
C0242,2026-04-29,India,E-commerce,24,Free,Organic
C0243,2026-02-16,India,Healthcare,38,Starter,Partner
C0244,2026-04-23,United States,Professional Services,17,Business,Organic
C0245,2026-04-17,India,Marketing,24,Free,Paid Ads
C0246,2026-04-14,Australia,FinTech,9,Free,Organic
C0247,2026-02-09,India,Healthcare,38,Free,Organic
C0248,2026-01-31,Germany,Healthcare,2,Free,Referral
C0249,2026-01-08,United States,IT Services,20,Free,Organic
C0250,2026-01-31,India,E-commerce,1,Starter,Partner
C0251,2026-04-23,Germany,FinTech,8,Free,Referral
C0252,2026-03-14,India,Marketing,135,Business,Paid Ads
C0253,2026-01-11,United Kingdom,SaaS,60,Starter,Organic
C0254,2026-01-11,United States,SaaS,2,Free,Sales
C0255,2026-04-04,United States,Professional Services,69,Business,Organic
C0256,2026-03-04,United States,SaaS,1,Starter,Organic
C0257,2026-04-15,United States,Professional Services,22,Starter,Sales
C0258,2026-01-09,India,Education,5,Starter,Referral
C0259,2026-04-08,India,Marketing,193,Starter,Referral
C0260,2026-03-10,United States,FinTech,2,Free,Organic
C0261,2026-04-09,United Kingdom,IT Services,198,Starter,Referral
C0262,2026-01-17,India,FinTech,4,Free,Partner
C0263,2026-01-17,India,Healthcare,5,Free,Paid Ads
C0264,2026-03-26,Canada,FinTech,37,Free,Organic
C0265,2026-03-02,Australia,SaaS,7,Free,Organic
C0266,2026-03-12,India,Marketing,8,Starter,Organic
C0267,2026-01-22,Canada,FinTech,7,Free,Paid Ads
C0268,2026-02-03,India,SaaS,161,Starter,Organic
C0269,2026-03-09,India,IT Services,31,Free,Organic
C0270,2026-04-22,United Kingdom,FinTech,12,Starter,Referral
C0271,2026-03-19,Australia,FinTech,150,Starter,Referral
C0272,2026-02-24,United States,SaaS,2,Free,Referral
C0273,2026-01-28,United Kingdom,FinTech,187,Free,Referral
C0274,2026-04-29,Australia,E-commerce,1,Free,Organic
C0275,2026-03-11,United States,Education,50,Starter,Partner
C0276,2026-04-07,United States,SaaS,15,Starter,Paid Ads
C0277,2026-04-04,India,Professional Services,10,Starter,Paid Ads
C0278,2026-03-30,Canada,Professional Services,62,Business,Referral
C0279,2026-01-26,India,SaaS,2,Starter,Organic
C0280,2026-04-02,Germany,Education,33,Free,Sales
C0281,2026-02-09,Australia,IT Services,715,Business,Sales
C0282,2026-02-21,Singapore,E-commerce,2,Free,Referral
C0283,2026-03-27,India,Education,5,Starter,Sales
C0284,2026-03-25,India,Marketing,5,Free,Sales
C0285,2026-02-17,Australia,FinTech,73,Business,Referral
C0286,2026-02-26,United States,FinTech,5,Starter,Paid Ads
C0287,2026-04-26,India,SaaS,984,Business,Referral
C0288,2026-03-08,United States,Marketing,163,Business,Organic
C0289,2026-02-27,Germany,Education,35,Starter,Organic
C0290,2026-01-16,India,FinTech,36,Business,Organic
C0291,2026-02-01,Singapore,Marketing,1,Free,Organic
C0292,2026-01-29,Canada,IT Services,8,Starter,Partner
C0293,2026-01-09,United Kingdom,SaaS,91,Business,Sales
C0294,2026-02-13,India,Professional Services,9,Starter,Paid Ads
C0295,2026-01-03,Singapore,E-commerce,4,Starter,Organic
C0296,2026-03-17,India,IT Services,85,Starter,Sales
C0297,2026-03-12,Singapore,Professional Services,7,Free,Organic
C0298,2026-01-30,India,SaaS,9,Free,Paid Ads
C0299,2026-03-17,India,IT Services,29,Starter,Organic
C0300,2026-01-29,Australia,Marketing,20,Free,Organic
C0301,2026-01-01,India,SaaS,127,Starter,Referral
C0302,2026-01-10,Germany,Marketing,6,Free,Sales
C0303,2026-04-01,India,IT Services,11,Starter,Paid Ads
C0304,2026-03-22,India,FinTech,192,Starter,Organic
C0305,2026-01-08,Australia,SaaS,9,Free,Organic
C0306,2026-01-30,Singapore,FinTech,345,Business,Referral
C0307,2026-01-09,India,Education,2,Starter,Organic
C0308,2026-04-26,Canada,Professional Services,13,Starter,Organic
C0309,2026-01-05,India,FinTech,52,Starter,Referral
C0310,2026-04-21,United States,E-commerce,10,Free,Organic
C0311,2026-02-12,India,Education,151,Starter,Organic
C0312,2026-01-10,India,Healthcare,188,Business,Paid Ads
C0313,2026-03-07,India,IT Services,9,Free,Referral
C0314,2026-01-31,United Kingdom,SaaS,72,Starter,Paid Ads
C0315,2026-02-05,United States,Healthcare,5,Free,Referral
C0316,2026-03-27,Germany,FinTech,104,Business,Sales
C0317,2026-03-04,United States,IT Services,33,Starter,Organic
C0318,2026-01-28,Australia,FinTech,24,Free,Organic
C0319,2026-03-11,United States,Marketing,37,Free,Organic
C0320,2026-01-17,United States,Education,9,Free,Organic
C0321,2026-04-03,United States,Marketing,20,Starter,Paid Ads
C0322,2026-04-30,India,SaaS,3,Starter,Organic
C0323,2026-04-23,United Kingdom,FinTech,98,Starter,Sales
C0324,2026-03-15,India,FinTech,4,Free,Organic
C0325,2026-03-15,India,Education,50,Free,Referral
C0326,2026-03-02,India,SaaS,5,Free,Organic
C0327,2026-02-01,Singapore,Education,23,Starter,Paid Ads
C0328,2026-04-11,Canada,Education,18,Business,Organic
C0329,2026-03-02,United Kingdom,E-commerce,22,Starter,Referral
C0330,2026-04-14,India,E-commerce,47,Free,Organic
C0331,2026-02-22,India,FinTech,64,Starter,Paid Ads
C0332,2026-01-25,India,E-commerce,46,Starter,Paid Ads
C0333,2026-01-13,India,SaaS,8,Free,Organic
C0334,2026-01-13,India,Professional Services,9,Free,Paid Ads
C0335,2026-03-26,India,E-commerce,15,Free,Organic
C0336,2026-02-25,India,Professional Services,29,Starter,Paid Ads
C0337,2026-02-15,United States,SaaS,68,Starter,Organic
C0338,2026-02-24,India,E-commerce,5,Free,Referral
C0339,2026-02-22,United States,E-commerce,301,Business,Organic
C0340,2026-03-01,United Kingdom,FinTech,23,Starter,Organic
C0341,2026-04-21,India,FinTech,10,Starter,Paid Ads
C0342,2026-04-04,India,Healthcare,8,Free,Paid Ads
C0343,2026-01-07,United States,Healthcare,32,Free,Partner
C0344,2026-03-28,India,FinTech,33,Starter,Organic
C0345,2026-03-25,United Kingdom,E-commerce,83,Business,Organic
C0346,2026-03-24,United States,FinTech,4,Free,Organic
C0347,2026-01-13,United States,Education,17,Starter,Partner
C0348,2026-01-08,India,E-commerce,5,Starter,Sales
C0349,2026-02-21,United States,SaaS,10,Free,Sales
C0350,2026-04-04,United States,Education,2,Free,Referral
C0351,2026-02-13,United Kingdom,Professional Services,23,Free,Referral
C0352,2026-04-13,Australia,IT Services,6,Free,Organic
C0353,2026-04-21,United States,Marketing,175,Free,Paid Ads
C0354,2026-01-14,India,Education,8,Free,Referral
C0355,2026-02-01,United States,Education,135,Starter,Sales
C0356,2026-01-25,India,Professional Services,50,Starter,Organic
C0357,2026-01-25,Germany,E-commerce,5,Free,Paid Ads
C0358,2026-03-10,Singapore,FinTech,48,Starter,Paid Ads
C0359,2026-02-27,India,Professional Services,3,Free,Organic
C0360,2026-01-18,Singapore,E-commerce,10,Free,Paid Ads
C0361,2026-02-24,United Kingdom,E-commerce,10,Starter,Sales
C0362,2026-01-24,United States,Professional Services,6,Free,Organic
C0363,2026-02-05,India,E-commerce,31,Starter,Paid Ads
C0364,2026-03-01,Singapore,Marketing,160,Starter,Organic
C0365,2026-02-01,Australia,IT Services,21,Starter,Sales
C0366,2026-04-22,India,Marketing,52,Starter,Sales
C0367,2026-04-29,India,IT Services,131,Starter,Sales
C0368,2026-01-10,India,IT Services,26,Starter,Sales
C0369,2026-02-26,India,Marketing,427,Business,Paid Ads
C0370,2026-04-14,United Kingdom,Education,7,Free,Organic
C0371,2026-04-21,India,Healthcare,121,Business,Sales
C0372,2026-04-20,Australia,Marketing,569,Business,Referral
C0373,2026-03-12,India,Healthcare,3,Free,Referral
C0374,2026-01-13,India,Healthcare,6,Free,Paid Ads
C0375,2026-01-07,Australia,E-commerce,8,Starter,Paid Ads
C0376,2026-03-25,Canada,IT Services,40,Starter,Partner
C0377,2026-03-11,Singapore,SaaS,8,Free,Referral
C0378,2026-04-18,Germany,IT Services,33,Free,Organic
C0379,2026-01-02,United Kingdom,IT Services,30,Free,Paid Ads
C0380,2026-01-12,Australia,FinTech,8,Free,Organic
C0381,2026-04-29,Germany,Healthcare,46,Free,Partner
C0382,2026-04-07,Canada,SaaS,2,Free,Referral
C0383,2026-04-19,India,IT Services,95,Business,Paid Ads
C0384,2026-01-31,Canada,E-commerce,71,Free,Organic
C0385,2026-01-22,India,Education,122,Business,Paid Ads
C0386,2026-02-22,India,Marketing,344,Business,Organic
C0387,2026-03-04,India,E-commerce,45,Business,Sales
C0388,2026-03-03,Canada,IT Services,4,Free,Organic
C0389,2026-01-28,Canada,E-commerce,5,Free,Referral
C0390,2026-04-21,United Kingdom,SaaS,2,Free,Organic
C0391,2026-02-21,India,SaaS,15,Starter,Paid Ads
C0392,2026-04-26,India,E-commerce,1,Free,Referral
C0393,2026-01-08,United States,Healthcare,43,Business,Referral
C0394,2026-01-22,India,Healthcare,1,Free,Sales
C0395,2026-02-18,Canada,Education,48,Starter,Paid Ads
C0396,2026-01-01,India,FinTech,199,Business,Organic
C0397,2026-02-19,India,SaaS,7,Free,Referral
C0398,2026-02-03,India,FinTech,10,Free,Organic
C0399,2026-04-29,Germany,SaaS,105,Free,Sales
C0400,2026-04-11,India,FinTech,60,Starter,Referral
C0401,2026-04-11,United States,SaaS,9,Starter,Referral
C0402,2026-02-28,India,E-commerce,5,Free,Organic
C0403,2026-02-06,Canada,Marketing,45,Starter,Referral
C0404,2026-02-24,Australia,Healthcare,9,Free,Paid Ads
C0405,2026-03-31,India,SaaS,8,Starter,Referral
C0406,2026-04-04,United States,IT Services,20,Free,Referral
C0407,2026-04-11,India,Professional Services,6,Free,Organic
C0408,2026-03-13,India,E-commerce,7,Free,Partner
C0409,2026-03-26,Germany,FinTech,25,Free,Referral
C0410,2026-04-02,Germany,SaaS,48,Starter,Referral
C0411,2026-03-04,Singapore,SaaS,29,Free,Referral
C0412,2026-01-20,India,Education,3,Free,Organic
C0413,2026-01-25,Australia,Marketing,8,Business,Referral
C0414,2026-02-07,Canada,Professional Services,714,Business,Referral
C0415,2026-01-28,United States,E-commerce,43,Free,Paid Ads
C0416,2026-01-08,India,IT Services,16,Free,Sales
C0417,2026-03-16,Canada,E-commerce,36,Free,Referral
C0418,2026-04-05,India,IT Services,34,Free,Sales
C0419,2026-03-11,United Kingdom,E-commerce,9,Business,Paid Ads
C0420,2026-01-08,United Kingdom,SaaS,11,Business,Organic
C0421,2026-04-06,India,Professional Services,26,Business,Paid Ads
C0422,2026-02-10,Australia,IT Services,93,Business,Paid Ads
C0423,2026-01-08,United States,SaaS,43,Free,Organic
C0424,2026-01-07,India,IT Services,3,Free,Paid Ads
C0425,2026-03-16,India,SaaS,39,Free,Referral
C0426,2026-03-03,India,Professional Services,91,Free,Referral
C0427,2026-03-06,India,E-commerce,3,Free,Referral
C0428,2026-04-28,India,SaaS,47,Starter,Partner
C0429,2026-04-20,United Kingdom,Professional Services,10,Free,Organic
C0430,2026-03-09,India,IT Services,3,Starter,Paid Ads
C0431,2026-01-21,India,Marketing,8,Free,Referral
C0432,2026-01-08,United States,Professional Services,33,Starter,Referral
C0433,2026-03-07,India,E-commerce,13,Starter,Referral
C0434,2026-01-11,United Kingdom,Marketing,107,Starter,Partner
C0435,2026-04-19,United States,E-commerce,175,Starter,Sales
C0436,2026-01-24,United States,E-commerce,25,Starter,Referral
C0437,2026-01-09,Germany,FinTech,2,Free,Partner
C0438,2026-03-18,India,E-commerce,5,Free,Partner
C0439,2026-01-09,United States,SaaS,145,Business,Paid Ads
C0440,2026-03-28,United States,SaaS,25,Starter,Sales
C0441,2026-04-21,United States,IT Services,13,Starter,Referral
C0442,2026-01-31,United States,Marketing,4,Free,Paid Ads
C0443,2026-02-21,United Kingdom,SaaS,44,Free,Organic
C0444,2026-01-16,United States,Education,6,Free,Paid Ads
C0445,2026-04-24,India,Education,7,Starter,Paid Ads
C0446,2026-03-14,India,Professional Services,8,Starter,Referral
C0447,2026-02-01,India,IT Services,8,Free,Partner
C0448,2026-03-16,Singapore,FinTech,13,Business,Paid Ads
C0449,2026-03-18,India,SaaS,241,Business,Referral
C0450,2026-01-06,India,Healthcare,133,Business,Partner
C0451,2026-03-21,United States,E-commerce,17,Starter,Sales
C0452,2026-01-11,India,Education,44,Free,Paid Ads
C0453,2026-02-23,India,IT Services,5,Free,Paid Ads
C0454,2026-03-26,Germany,FinTech,5,Free,Referral
C0455,2026-03-16,United Kingdom,SaaS,10,Free,Referral
C0456,2026-03-14,United States,E-commerce,45,Free,Sales
C0457,2026-03-08,United States,Healthcare,10,Starter,Sales
C0458,2026-02-10,United Kingdom,Marketing,95,Free,Organic
C0459,2026-04-30,Australia,Marketing,35,Free,Sales
C0460,2026-02-03,United Kingdom,SaaS,7,Free,Organic
C0461,2026-01-27,Australia,Professional Services,34,Business,Paid Ads
C0462,2026-03-27,United States,FinTech,48,Business,Organic
C0463,2026-04-02,Germany,IT Services,2,Free,Sales
C0464,2026-02-10,India,Healthcare,44,Starter,Organic
C0465,2026-01-31,United Kingdom,Healthcare,115,Business,Organic
C0466,2026-02-03,India,Marketing,7,Free,Organic
C0467,2026-02-20,United States,IT Services,4,Free,Organic
C0468,2026-01-17,India,FinTech,183,Starter,Organic
C0469,2026-03-27,India,IT Services,154,Starter,Organic
C0470,2026-03-24,Singapore,Professional Services,33,Free,Sales
C0471,2026-02-08,India,Healthcare,139,Free,Organic
C0472,2026-02-28,Germany,E-commerce,8,Starter,Paid Ads
C0473,2026-02-10,United States,FinTech,41,Starter,Referral
C0474,2026-04-29,India,Healthcare,52,Starter,Sales
