lead_id,company_size,industry,source,plan_interest,sales_stage,deal_value,outcome,converted_customer_id
L000220,329,FinTech,Referral,Starter,New,17948,Converted,C0889
L000221,372,Professional Services,Partner,Starter,Negotiation,9046,Converted,C0506
L000222,846,FinTech,Paid Ads,Starter,Negotiation,2207,In Progress,
L000223,631,IT Services,Partner,Starter,Qualified,19022,In Progress,
L000224,554,Education,Website,Business,Qualified,5296,In Progress,
L000225,249,E-commerce,Referral,Starter,Proposal,4775,Lost,
L000226,779,E-commerce,Partner,Business,Demo,4466,Lost,
L000227,448,FinTech,Referral,Business,New,19227,In Progress,
L000228,162,E-commerce,Outbound,Starter,Qualified,6403,Lost,
L000229,416,E-commerce,Referral,Business,Proposal,17714,In Progress,
L000230,542,Education,Referral,Starter,Qualified,19491,In Progress,
L000231,232,Healthcare,Partner,Business,Qualified,3248,Lost,
L000232,410,SaaS,Website,Business,Qualified,15482,Converted,C0320
L000233,484,E-commerce,Partner,Business,Qualified,7509,Lost,
L000234,562,Healthcare,Paid Ads,Starter,Negotiation,1840,Lost,
L000235,419,Healthcare,Partner,Starter,New,19876,In Progress,
L000236,84,SaaS,Partner,Business,Qualified,4323,In Progress,
L000237,317,SaaS,Referral,Business,Negotiation,5771,Converted,C0820
L000238,653,Education,Paid Ads,Business,New,1503,Converted,C0451
L000239,643,SaaS,Website,Business,Demo,6178,In Progress,
L000240,789,Healthcare,Paid Ads,Business,Proposal,13233,Lost,
L000241,964,Education,Website,Business,Demo,9146,Converted,C0977
L000242,530,Marketing,Partner,Business,Qualified,2906,In Progress,
L000243,396,Marketing,Outbound,Business,Proposal,11024,Converted,C0470
L000244,432,Professional Services,Outbound,Business,Qualified,4535,Lost,
L000245,774,Education,Website,Starter,Negotiation,3201,In Progress,
L000246,822,IT Services,Referral,Business,Proposal,12190,Lost,
L000247,853,E-commerce,Partner,Business,New,18148,Converted,C0141
L000248,89,SaaS,Partner,Starter,Negotiation,15664,Lost,
L000249,136,Healthcare,Website,Business,New,16940,In Progress,
L000250,94,Healthcare,Referral,Business,Proposal,6207,Converted,C0882
L000251,678,Healthcare,Partner,Business,Qualified,1073,Lost,
L000252,179,FinTech,Website,Business,Qualified,13893,Lost,
L000253,452,SaaS,Partner,Business,Negotiation,1487,In Progress,
L000254,684,SaaS,Website,Business,Qualified,11693,Converted,C0905
L000255,646,Professional Services,Website,Business,Demo,1110,Lost,
L000256,720,SaaS,Outbound,Business,New,19765,Lost,
L000257,395,FinTech,Website,Business,Qualified,2715,Lost,
L000258,700,SaaS,Paid Ads,Starter,Demo,1454,In Progress,
L000259,74,FinTech,Paid Ads,Starter,Proposal,2579,Converted,C0572
L000260,56,FinTech,Partner,Business,New,18035,Converted,C0711
L000261,382,Professional Services,Paid Ads,Business,Proposal,10205,Converted,C0735
L000262,805,Healthcare,Referral,Business,Demo,8273,Converted,C0600
L000263,599,Marketing,Referral,Business,New,13206,Lost,
L000264,199,Healthcare,Partner,Starter,Proposal,1440,Converted,C0178
L000265,181,Healthcare,Website,Business,Proposal,17996,Converted,C0412
L000266,99,E-commerce,Outbound,Starter,Demo,7685,In Progress,
L000267,115,SaaS,Paid Ads,Business,Qualified,14882,In Progress,
L000268,362,SaaS,Website,Business,Negotiation,12881,Lost,
L000269,873,Marketing,Outbound,Business,New,12934,Converted,C0479
L000270,66,E-commerce,Partner,Business,Qualified,11551,In Progress,
L000271,711,E-commerce,Outbound,Starter,New,17624,In Progress,
L000272,428,FinTech,Partner,Starter,Demo,16330,In Progress,
L000273,459,E-commerce,Paid Ads,Business,Demo,8817,In Progress,
L000274,231,Education,Referral,Business,Proposal,6136,Converted,C0350
L000275,135,IT Services,Website,Starter,New,12538,Lost,
L000276,178,E-commerce,Website,Business,New,6873,In Progress,
L000277,511,SaaS,Outbound,Business,Negotiation,7308,In Progress,
L000278,301,IT Services,Referral,Business,New,9822,Converted,C0089
L000279,890,Marketing,Outbound,Business,Demo,10947,Converted,C0278
L000280,865,E-commerce,Paid Ads,Business,Qualified,19029,In Progress,
L000281,378,Education,Website,Business,New,10365,Converted,C0518
L000282,723,Healthcare,Outbound,Starter,Negotiation,4291,Lost,
L000283,235,Education,Partner,Business,Demo,15245,Lost,
L000284,882,Healthcare,Website,Business,New,15073,Converted,C0175
L000285,858,Professional Services,Outbound,Business,Proposal,15312,In Progress,
L000286,577,Professional Services,Paid Ads,Starter,Negotiation,19443,Lost,
L000287,63,Healthcare,Referral,Starter,Demo,12984,Lost,
L000288,390,IT Services,Partner,Business,Negotiation,9067,In Progress,
L000289,92,Healthcare,Paid Ads,Business,Negotiation,17888,In Progress,
L000290,401,E-commerce,Paid Ads,Business,Negotiation,18708,Lost,
L000291,153,FinTech,Paid Ads,Starter,Demo,13763,Converted,C0991
L000292,934,Marketing,Partner,Business,Negotiation,16800,Lost,
L000293,573,IT Services,Website,Business,Proposal,8235,Lost,
L000294,276,FinTech,Outbound,Starter,Demo,15491,Lost,
L000295,796,E-commerce,Referral,Business,New,758,In Progress,
L000296,985,SaaS,Website,Business,New,1869,Lost,
L000297,9,SaaS,Partner,Starter,Qualified,10528,Lost,
L000298,622,Healthcare,Website,Starter,Proposal,14235,Lost,
L000299,992,Marketing,Referral,Business,Qualified,1062,In Progress,
L000300,888,IT Services,Website,Starter,Negotiation,14300,In Progress,
L000301,422,IT Services,Referral,Business,Qualified,14518,Lost,
L000302,612,Healthcare,Website,Starter,Negotiation,1657,Converted,C0378
L000303,533,Marketing,Referral,Business,Qualified,1890,Converted,C0295
L000304,361,E-commerce,Partner,Business,Negotiation,1533,In Progress,
L000305,842,Education,Paid Ads,Business,Negotiation,1106,In Progress,
L000306,935,FinTech,Website,Business,Negotiation,1264,In Progress,
L000307,451,Healthcare,Referral,Business,Proposal,7724,Converted,C0582
L000308,371,Healthcare,Partner,Business,Demo,19556,Lost,
L000309,692,E-commerce,Outbound,Business,Negotiation,5871,Lost,
L000310,387,E-commerce,Outbound,Business,Demo,8635,In Progress,
L000311,756,Professional Services,Outbound,Business,Demo,4134,Converted,C0976
L000312,43,Professional Services,Referral,Starter,Proposal,14570,In Progress,
L000313,142,IT Services,Referral,Starter,Proposal,2205,Converted,C0074
L000314,586,SaaS,Partner,Starter,Negotiation,6299,Lost,
L000315,730,Marketing,Partner,Business,Proposal,6427,Lost,
L000316,76,SaaS,Website,Business,New,17696,In Progress,
L000317,982,FinTech,Referral,Starter,Negotiation,1542,Converted,C0946
L000318,418,E-commerce,Paid Ads,Business,Proposal,3730,Converted,C0197
L000319,7,IT Services,Referral,Free,Proposal,12442,In Progress,
L000320,400,Education,Paid Ads,Business,Qualified,10198,Lost,
L000321,901,Healthcare,Outbound,Business,Demo,2198,Converted,C0363
L000322,42,SaaS,Referral,Starter,Qualified,16295,In Progress,
L000323,642,SaaS,Outbound,Business,Qualified,10596,In Progress,
L000324,970,Education,Paid Ads,Business,Demo,4182,In Progress,
L000325,114,Education,Partner,Business,Proposal,6017,Lost,
L000326,52,IT Services,Paid Ads,Business,Demo,14017,In Progress,
L000327,137,Education,Referral,Starter,Proposal,1796,Converted,C0142
L000328,50,E-commerce,Partner,Free,Demo,2579,Converted,C0488
L000329,69,Professional Services,Partner,Starter,Proposal,16178,Converted,C0385
L000330,903,Marketing,Referral,Business,Proposal,6226,Lost,
L000331,508,Education,Paid Ads,Starter,Proposal,18826,Converted,C0994
L000332,120,IT Services,Referral,Starter,Qualified,8890,Converted,C0036
L000333,240,FinTech,Partner,Starter,New,10372,Converted,C0186
L000334,456,Healthcare,Website,Business,New,12218,Lost,
L000335,966,SaaS,Website,Business,Negotiation,19248,Converted,C0454
L000336,141,IT Services,Referral,Starter,Demo,6782,Converted,C0868
L000337,195,Healthcare,Partner,Starter,Negotiation,18460,Lost,
L000338,525,Healthcare,Referral,Business,New,13274,In Progress,
L000339,633,Professional Services,Outbound,Business,Negotiation,14261,In Progress,
L000340,921,SaaS,Outbound,Business,Qualified,7905,Lost,
L000341,259,E-commerce,Paid Ads,Starter,New,7560,In Progress,
L000342,748,FinTech,Website,Starter,Negotiation,8889,Lost,
L000343,102,FinTech,Paid Ads,Starter,Qualified,8746,Lost,
L000344,886,Marketing,Paid Ads,Starter,Proposal,6517,Converted,C0771
L000345,493,Marketing,Referral,Starter,New,5912,Lost,
L000346,459,SaaS,Paid Ads,Business,New,13183,Lost,
L000347,15,FinTech,Paid Ads,Free,New,10680,In Progress,
L000348,773,IT Services,Outbound,Business,Demo,15515,In Progress,
L000349,416,IT Services,Website,Business,Proposal,10450,Lost,
L000350,130,Healthcare,Paid Ads,Starter,Demo,6545,In Progress,
L000351,525,Marketing,Outbound,Business,Negotiation,4472,In Progress,
L000352,711,IT Services,Website,Business,Negotiation,514,Lost,
L000353,624,E-commerce,Partner,Business,Proposal,7910,Converted,C0188
L000354,945,IT Services,Partner,Business,Qualified,16070,Lost,
L000355,922,Professional Services,Website,Business,Proposal,16297,Converted,C0400
L000356,877,Healthcare,Referral,Business,Demo,13359,Lost,
L000357,570,Education,Paid Ads,Business,New,10238,Lost,
L000358,704,Professional Services,Paid Ads,Business,Proposal,13408,In Progress,
L000359,663,Marketing,Website,Starter,Proposal,16109,Converted,C0200
L000360,957,FinTech,Paid Ads,Business,Proposal,7620,Converted,C0229
L000361,298,Professional Services,Partner,Business,Qualified,7532,Lost,
L000362,891,FinTech,Outbound,Starter,Proposal,5117,Converted,C0765
L000363,574,Professional Services,Referral,Business,Demo,14594,In Progress,
L000364,981,IT Services,Referral,Business,Qualified,5067,Lost,
L000365,987,Education,Referral,Business,New,15030,Lost,
L000366,88,FinTech,Partner,Business,Demo,10665,Lost,
L000367,751,E-commerce,Partner,Business,Negotiation,5777,In Progress,
L000368,281,Education,Partner,Starter,Negotiation,16333,Converted,C0392
L000369,95,SaaS,Outbound,Starter,Demo,5832,Lost,
L000370,531,Marketing,Referral,Business,New,2484,Lost,
L000371,301,Marketing,Website,Business,Proposal,7967,Lost,
L000372,216,Healthcare,Paid Ads,Business,Negotiation,16129,Lost,
L000373,793,Professional Services,Referral,Business,Qualified,8193,In Progress,
L000374,159,Professional Services,Outbound,Starter,Proposal,18465,Lost,
L000375,148,SaaS,Website,Starter,Demo,8677,In Progress,
L000376,384,E-commerce,Website,Business,Proposal,10635,In Progress,
L000377,476,Professional Services,Website,Business,Negotiation,702,Lost,
L000378,222,FinTech,Outbound,Starter,Demo,4678,Converted,C0694
L000379,940,SaaS,Referral,Business,New,5310,Converted,C0455
L000380,507,SaaS,Referral,Business,New,10495,In Progress,
L000381,34,Education,Paid Ads,Starter,New,1182,In Progress,
L000382,774,SaaS,Partner,Business,Qualified,16897,Converted,C0082
L000383,750,Marketing,Outbound,Starter,Proposal,2842,Converted,C0687
L000384,556,Education,Website,Business,Negotiation,17932,Lost,
L000385,636,FinTech,Outbound,Business,Demo,15096,Converted,C0331
L000386,387,Education,Website,Starter,Demo,16190,Converted,C0248
L000387,449,Professional Services,Outbound,Business,Demo,5141,Lost,
L000388,199,FinTech,Paid Ads,Starter,New,9952,Lost,
L000389,559,Professional Services,Outbound,Starter,Qualified,11366,In Progress,
L000390,744,Professional Services,Paid Ads,Business,Negotiation,6031,Converted,C0111
L000391,663,Professional Services,Outbound,Starter,New,17384,Lost,
L000392,737,SaaS,Partner,Business,Negotiation,8681,Converted,C0695
L000393,209,SaaS,Website,Business,Negotiation,4605,Lost,
L000394,266,Marketing,Paid Ads,Starter,New,16001,Converted,C0042
L000395,187,Education,Outbound,Business,Demo,4844,In Progress,
L000396,702,E-commerce,Referral,Business,Demo,9489,Lost,
L000397,684,Healthcare,Website,Business,Qualified,2511,Lost,
L000398,68,Education,Website,Business,Demo,19513,Lost,
L000399,85,IT Services,Referral,Starter,Demo,12865,Lost,
L000400,778,SaaS,Paid Ads,Business,Negotiation,10540,In Progress,
L000401,753,E-commerce,Partner,Starter,Proposal,19637,Converted,C0702
L000402,813,IT Services,Referral,Starter,New,13753,Lost,
L000403,943,E-commerce,Partner,Business,New,4990,Lost,
L000404,517,Professional Services,Paid Ads,Starter,New,18726,Converted,C0135
L000405,650,SaaS,Partner,Business,Qualified,15295,In Progress,
L000406,402,Marketing,Website,Starter,Qualified,3259,Converted,C0882
L000407,326,Healthcare,Outbound,Starter,Negotiation,15260,Converted,C0506
L000408,140,FinTech,Paid Ads,Starter,New,9441,Converted,C0043
L000409,37,FinTech,Partner,Starter,Demo,10044,Lost,
L000410,756,Professional Services,Website,Business,Demo,2608,Lost,
L000411,857,SaaS,Partner,Starter,New,8024,In Progress,
L000412,324,FinTech,Outbound,Starter,New,7846,Lost,
L000413,50,E-commerce,Outbound,Free,Qualified,19075,In Progress,
L000414,211,IT Services,Website,Business,Demo,15298,Lost,
L000415,59,SaaS,Partner,Business,Negotiation,7943,Converted,C0939
L000416,499,Marketing,Paid Ads,Starter,New,10407,Converted,C0816
L000417,644,Marketing,Referral,Business,Qualified,4342,Converted,C0579
L000418,441,FinTech,Partner,Business,Demo,17358,In Progress,
L000419,192,Marketing,Referral,Business,Proposal,5862,In Progress,
L000420,232,Education,Referral,Business,Demo,16124,In Progress,
L000421,67,SaaS,Paid Ads,Business,Proposal,7899,Converted,C0056
L000422,766,Marketing,Partner,Business,Qualified,9794,Converted,C0531
L000423,811,Education,Partner,Starter,Proposal,6292,Converted,C0846
