ticket_id,customer_id,timestamp,message,category,resolution_time,resolved
ST000048,C0009,2026-04-28 12:15:56,We are having problems connecting our tools.,Integration,30.06,True
ST000049,C0009,2026-04-05 00:00:00,Our integration stopped working.,Integration,69.54,True
ST000050,C0009,2026-04-05 00:00:00,I cannot access my account.,Account,44.59,True
ST000051,C0009,2026-04-05 00:00:00,I need help with something.,Other,17.98,True
ST000052,C0010,2026-03-08 21:39:37,We are having problems connecting our tools.,Integration,15.78,True
ST000053,C0010,2026-02-02 19:38:15,The integration keeps failing.,Integration,62.38,True
ST000054,C0010,2026-04-02 16:33:55,I need help with something.,Other,45.56,True
ST000055,C0010,2026-04-06 13:03:58,I found a bug in the dashboard.,Bug,31.87,True
ST000056,C0011,2026-03-28 09:22:48,Our integration stopped working.,Integration,7.5,True
ST000057,C0011,2026-03-28 00:00:00,I need help changing our account settings.,Account,34.49,True
ST000058,C0011,2026-03-28 00:00:00,I cannot access my account.,Account,3.13,True
ST000059,C0011,2026-03-28 00:00:00,Why was my payment charged twice?,Billing,31.58,False
ST000060,C0011,2026-03-28 00:00:00,I found a bug in the dashboard.,Bug,2.49,True
ST000061,C0011,2026-03-28 00:00:00,The integration is not syncing correctly.,Integration,8.61,True
ST000062,C0011,2026-04-07 16:31:18,I need help with something.,Other,17.94,True
ST000063,C0012,2026-04-05 00:00:00,I need help with something.,Other,59.23,True
ST000064,C0013,2026-04-25 00:00:00,The integration is not syncing correctly.,Integration,60.02,False
ST000065,C0013,2026-04-25 00:00:00,I cannot access my account.,Account,3.88,True
ST000066,C0013,2026-04-25 00:00:00,I need help with something.,Other,33.19,True
ST000067,C0013,2026-04-28 00:22:58,Something is not working correctly.,Bug,52.38,True
ST000068,C0013,2026-04-25 00:00:00,Our integration stopped working.,Integration,26.02,False
ST000069,C0013,2026-04-25 00:00:00,The application has become slower recently.,Performance,69.55,True
ST000070,C0014,2026-03-11 00:00:00,The application has become slower recently.,Performance,44.35,True
ST000071,C0014,2026-03-11 00:00:00,Our integration stopped working.,Integration,5.76,False
ST000072,C0014,2026-04-18 15:09:15,I found a bug in the dashboard.,Bug,48.67,False
ST000073,C0015,2026-02-02 11:59:10,The integration is not syncing correctly.,Integration,36.28,True
ST000074,C0015,2026-02-08 18:40:13,I need help with something.,Other,9.29,True
ST000075,C0015,2026-01-12 00:00:00,I need help changing our account settings.,Account,48.24,True
ST000076,C0016,2026-04-16 01:00:42,I have a question about the product.,Other,4.18,True
ST000077,C0016,2026-03-17 00:00:00,The application shows an unexpected error.,Bug,21.81,False
ST000078,C0016,2026-04-13 07:57:10,I need help changing our account settings.,Account,14.68,False
ST000079,C0016,2026-03-17 00:00:00,The integration keeps failing.,Integration,36.84,False
ST000080,C0016,2026-03-17 00:00:00,The dashboard is loading slowly.,Performance,57.46,True
ST000081,C0016,2026-04-01 12:32:15,I cannot access my account.,Account,49.39,False
ST000082,C0016,2026-03-17 00:00:00,I have a question about the product.,Other,1.34,False
ST000083,C0017,2026-03-19 11:55:52,I cannot access my account.,Account,19.41,False
ST000084,C0018,2026-04-03 03:19:34,I need help changing our account settings.,Account,24.81,True
ST000085,C0018,2026-03-16 16:27:13,I have a question about my invoice.,Billing,27.75,True
ST000086,C0019,2026-01-09 19:25:58,Our integration stopped working.,Integration,23.16,True
ST000087,C0020,2026-01-31 22:58:38,Our integration stopped working.,Integration,16.36,True
ST000088,C0020,2026-03-30 04:31:18,I found a bug in the dashboard.,Bug,34.32,True
ST000089,C0020,2026-03-15 23:27:11,I cannot access my account.,Account,18.82,True
ST000090,C0020,2026-02-08 21:18:08,Can you add more options to the dashboard?,Feature Request,42.58,False
ST000091,C0020,2026-02-26 02:54:07,The integration is not syncing correctly.,Integration,64.71,True
ST000092,C0020,2026-03-09 09:02:04,Can you add more options to the dashboard?,Feature Request,69.3,False
ST000093,C0021,2026-02-20 11:45:58,The integration keeps failing.,Integration,4.05,True
ST000094,C0021,2026-04-07 16:39:59,The integration keeps failing.,Integration,59.03,True
ST000095,C0021,2026-02-02 13:21:41,Our integration stopped working.,Integration,16.21,False
ST000096,C0021,2026-04-03 01:43:03,Can you add more options to the dashboard?,Feature Request,16.78,True
ST000097,C0021,2026-03-27 14:20:45,I need help changing our account settings.,Account,54.11,True
ST000098,C0021,2026-01-28 00:00:00,I need help with something.,Other,38.01,True
ST000099,C0021,2026-03-20 09:49:14,I found a bug in the dashboard.,Bug,52.74,True
ST000100,C0021,2026-02-28 03:48:50,The integration is not syncing correctly.,Integration,16.16,True
ST000101,C0022,2026-04-28 12:16:12,The integration keeps failing.,Integration,49.76,True
ST000102,C0022,2026-01-30 00:00:00,I was charged incorrectly this month.,Billing,21.6,True
ST000103,C0022,2026-01-30 00:00:00,The integration keeps failing.,Integration,56.77,True
ST000104,C0022,2026-01-30 00:00:00,Our integration stopped working.,Integration,63.04,False
ST000105,C0023,2026-03-17 04:30:23,I have a question about my invoice.,Billing,27.34,True
ST000106,C0023,2026-04-18 16:33:47,It would be useful to have this feature.,Feature Request,38.85,True
ST000107,C0023,2026-03-06 00:00:00,Can you add more options to the dashboard?,Feature Request,29.58,True
ST000108,C0023,2026-03-24 16:21:40,I was charged incorrectly this month.,Billing,7.69,True
ST000109,C0023,2026-04-18 15:54:01,Something is not working correctly.,Bug,40.24,True
ST000110,C0023,2026-03-06 00:00:00,The application shows an unexpected error.,Bug,70.19,True
ST000111,C0023,2026-04-05 07:49:37,I was charged incorrectly this month.,Billing,65.1,True
ST000112,C0024,2026-03-19 00:00:00,I cannot access my account.,Account,71.29,True
ST000113,C0024,2026-03-19 00:00:00,I found a bug in the dashboard.,Bug,67.68,False
ST000114,C0024,2026-03-19 00:00:00,It would be useful to have this feature.,Feature Request,4.2,True
ST000115,C0025,2026-04-20 15:54:42,Our integration stopped working.,Integration,19.96,False
ST000116,C0025,2026-04-08 13:50:14,I have a question about the product.,Other,11.28,False
ST000117,C0025,2026-02-02 06:41:50,The application has become slower recently.,Performance,16.82,True
ST000118,C0026,2026-03-13 00:00:00,Why was my payment charged twice?,Billing,21.21,True
ST000119,C0026,2026-04-18 21:54:43,I need help changing our account settings.,Account,68.41,False
ST000120,C0026,2026-03-13 00:00:00,I need help with something.,Other,32.66,True
ST000121,C0027,2026-01-26 00:00:00,I found a bug in the dashboard.,Bug,9.51,False
ST000122,C0027,2026-04-16 11:00:15,The dashboard is loading slowly.,Performance,3.77,True
ST000123,C0027,2026-02-28 08:43:20,I need help changing our account settings.,Account,53.47,True
ST000124,C0028,2026-04-05 12:39:58,Something is not working correctly.,Bug,24.47,True
ST000125,C0028,2026-04-02 00:00:00,I cannot access my account.,Account,36.27,False
ST000126,C0028,2026-04-02 00:00:00,I found a bug in the dashboard.,Bug,66.08,False
ST000127,C0028,2026-04-02 00:00:00,We are having problems connecting our tools.,Integration,19.36,True
ST000128,C0029,2026-03-25 00:00:00,I have a question about the product.,Other,36.11,True
ST000129,C0029,2026-04-27 21:06:47,Why was my payment charged twice?,Billing,3.47,True
ST000130,C0029,2026-03-25 00:00:00,I have a question about the product.,Other,20.56,True
ST000131,C0029,2026-03-25 00:00:00,We are having problems connecting our tools.,Integration,45.65,True
ST000132,C0029,2026-03-28 05:59:36,The integration keeps failing.,Integration,13.18,True
ST000133,C0029,2026-04-14 14:36:59,Something is not working correctly.,Bug,53.96,False
ST000134,C0030,2026-04-05 01:38:17,The integration is not syncing correctly.,Integration,3.19,True
ST000135,C0030,2026-03-31 00:00:00,I have a question about my invoice.,Billing,52.69,True
ST000136,C0030,2026-03-31 00:00:00,Why was my payment charged twice?,Billing,52.32,True
ST000137,C0030,2026-03-31 00:00:00,I have a question about the product.,Other,64.05,True
ST000138,C0030,2026-03-31 00:00:00,I need help with something.,Other,5.49,True
ST000139,C0030,2026-03-31 00:00:00,It would be useful to have this feature.,Feature Request,8.45,True
ST000140,C0031,2026-03-11 00:00:00,The integration keeps failing.,Integration,10.75,True
ST000141,C0031,2026-03-11 00:00:00,I have a question about my invoice.,Billing,41.5,True
ST000142,C0031,2026-04-24 11:04:18,The dashboard is loading slowly.,Performance,7.3,True
ST000143,C0032,2026-03-30 07:29:05,Our integration stopped working.,Integration,57.7,True
ST000144,C0032,2026-02-23 00:00:00,I have a question about the product.,Other,46.36,True
ST000145,C0032,2026-02-23 00:00:00,I have a question about the product.,Other,36.03,False
ST000146,C0032,2026-04-15 01:17:04,Our integration stopped working.,Integration,17.54,True
ST000147,C0032,2026-03-21 00:33:29,It would be useful to have this feature.,Feature Request,5.23,True
ST000148,C0032,2026-03-20 06:09:07,The integration keeps failing.,Integration,51.12,True
ST000149,C0033,2026-04-14 10:22:24,The integration keeps failing.,Integration,34.62,True
ST000150,C0033,2026-02-20 21:05:45,I need help with something.,Other,65.03,True
ST000151,C0033,2026-03-27 22:41:35,I was charged incorrectly this month.,Billing,27.96,True
ST000152,C0033,2026-02-08 13:38:28,Our integration stopped working.,Integration,31.89,True
ST000153,C0034,2026-04-01 21:31:29,We are having problems connecting our tools.,Integration,70.3,True
ST000154,C0034,2026-04-22 09:47:11,I need help changing our account settings.,Account,40.49,True
ST000155,C0034,2026-03-07 10:51:07,The application has become slower recently.,Performance,18.34,False
ST000156,C0035,2026-03-17 00:00:00,I need help with something.,Other,23.91,True
ST000157,C0035,2026-03-17 00:00:00,I cannot access my account.,Account,35.38,True
ST000158,C0035,2026-03-17 00:00:00,Our integration stopped working.,Integration,66.02,True
ST000159,C0035,2026-04-01 03:57:45,It would be useful to have this feature.,Feature Request,30.58,False
ST000160,C0035,2026-03-17 00:00:00,It would be useful to have this feature.,Feature Request,15.45,True
ST000161,C0035,2026-03-17 00:00:00,I need help with something.,Other,4.31,False
ST000162,C0036,2026-02-23 22:59:11,Our integration stopped working.,Integration,53.67,True
ST000163,C0036,2026-02-26 11:53:08,The integration keeps failing.,Integration,66.8,True
ST000164,C0037,2026-04-14 00:00:00,I cannot access my account.,Account,35.68,True
ST000165,C0037,2026-04-14 00:00:00,I have a question about my invoice.,Billing,35.9,True
ST000166,C0037,2026-04-14 00:00:00,I cannot access my account.,Account,16.17,True
ST000167,C0037,2026-04-14 00:00:00,I need help with something.,Other,28.77,False
ST000168,C0037,2026-04-14 00:00:00,We are having problems connecting our tools.,Integration,32.88,True
ST000169,C0038,2026-04-22 00:00:00,The application shows an unexpected error.,Bug,19.35,False
ST000170,C0038,2026-04-22 00:00:00,Can you add more options to the dashboard?,Feature Request,38.73,True
ST000171,C0038,2026-04-22 00:00:00,The application shows an unexpected error.,Bug,57.73,True
ST000172,C0038,2026-04-22 00:00:00,I need help changing our account settings.,Account,38.19,False
ST000173,C0038,2026-04-22 00:00:00,We are having problems connecting our tools.,Integration,32.92,False
ST000174,C0038,2026-04-22 00:00:00,I found a bug in the dashboard.,Bug,41.51,True
ST000175,C0038,2026-04-22 00:00:00,I have a question about my invoice.,Billing,37.1,True
ST000176,C0039,2026-01-08 05:38:51,I need help with something.,Other,30.07,True
ST000177,C0039,2026-02-17 04:14:46,The integration keeps failing.,Integration,29.46,True
ST000178,C0039,2026-03-10 10:41:47,I found a bug in the dashboard.,Bug,32.79,True
ST000179,C0040,2026-04-08 00:00:00,The application shows an unexpected error.,Bug,13.92,False
ST000180,C0040,2026-04-08 00:00:00,I need help with something.,Other,34.64,True
ST000181,C0041,2026-04-14 00:00:00,The integration is not syncing correctly.,Integration,44.09,False
ST000182,C0041,2026-04-14 00:00:00,I need help with something.,Other,59.0,True
ST000183,C0041,2026-04-17 12:18:23,I have a question about my invoice.,Billing,28.15,True
ST000184,C0041,2026-04-14 00:00:00,I have a question about the product.,Other,31.45,True
ST000185,C0041,2026-04-14 00:00:00,I found a bug in the dashboard.,Bug,25.91,False
ST000186,C0042,2026-01-21 00:00:00,I found a bug in the dashboard.,Bug,59.67,True
ST000187,C0042,2026-01-31 06:43:24,I have a question about my invoice.,Billing,50.76,True
ST000188,C0042,2026-03-21 15:08:58,I found a bug in the dashboard.,Bug,56.1,False
ST000189,C0042,2026-04-21 13:39:02,Why was my payment charged twice?,Billing,15.72,True
ST000190,C0043,2026-03-31 00:00:00,I found a bug in the dashboard.,Bug,48.28,False
ST000191,C0043,2026-03-31 00:00:00,The dashboard is loading slowly.,Performance,16.42,True
ST000192,C0043,2026-03-31 00:00:00,Why was my payment charged twice?,Billing,41.04,True
ST000193,C0044,2026-03-09 22:14:29,I need help with something.,Other,50.5,True
ST000194,C0044,2026-02-24 00:00:00,I need help with something.,Other,49.49,True
ST000195,C0044,2026-02-24 00:00:00,I need help with something.,Other,22.77,True
ST000196,C0044,2026-02-24 00:00:00,The integration keeps failing.,Integration,37.05,False
ST000197,C0045,2026-03-22 10:01:08,I need help with something.,Other,29.34,True
ST000198,C0046,2026-02-05 00:00:00,I need help changing our account settings.,Account,52.01,False
ST000199,C0046,2026-02-11 23:14:20,The application shows an unexpected error.,Bug,16.33,False
ST000200,C0046,2026-02-09 18:41:16,I found a bug in the dashboard.,Bug,20.2,False
ST000201,C0046,2026-04-25 21:51:57,Can you add more options to the dashboard?,Feature Request,34.52,True
ST000202,C0046,2026-02-24 09:26:43,I need help with something.,Other,64.13,True
ST000203,C0046,2026-02-16 11:54:05,It would be useful to have this feature.,Feature Request,35.09,True
ST000204,C0046,2026-02-19 07:34:33,Can you add more options to the dashboard?,Feature Request,55.53,True
ST000205,C0046,2026-04-13 09:59:56,I was charged incorrectly this month.,Billing,48.09,True
ST000206,C0047,2026-04-15 11:18:26,I need help with something.,Other,34.1,False
ST000207,C0047,2026-02-28 03:09:28,I have a question about the product.,Other,8.0,True
ST000208,C0047,2026-02-17 11:03:15,We are having problems connecting our tools.,Integration,2.53,True
ST000209,C0047,2026-01-20 00:00:00,Our integration stopped working.,Integration,65.33,True
ST000210,C0048,2026-01-28 00:00:00,The integration is not syncing correctly.,Integration,50.95,True
ST000211,C0049,2026-04-08 00:00:00,It would be useful to have this feature.,Feature Request,4.26,False
ST000212,C0049,2026-04-08 00:00:00,We are having problems connecting our tools.,Integration,18.74,True
ST000213,C0049,2026-04-08 00:00:00,I need help changing our account settings.,Account,45.75,True
ST000214,C0049,2026-04-08 00:00:00,I cannot access my account.,Account,42.27,False
ST000215,C0049,2026-04-08 00:00:00,I have a question about my invoice.,Billing,44.68,False
ST000216,C0049,2026-04-08 00:00:00,I need help changing our account settings.,Account,23.99,True
ST000217,C0049,2026-04-08 00:00:00,I found a bug in the dashboard.,Bug,17.17,True
ST000218,C0050,2026-02-13 00:00:00,I need help changing our account settings.,Account,23.88,True
ST000219,C0050,2026-02-13 00:00:00,The dashboard is loading slowly.,Performance,36.79,True
ST000220,C0050,2026-04-16 19:23:14,I was charged incorrectly this month.,Billing,63.25,True
ST000221,C0050,2026-04-07 17:26:10,I cannot access my account.,Account,11.77,True
ST000222,C0050,2026-02-13 00:00:00,I found a bug in the dashboard.,Bug,36.97,True
ST000223,C0050,2026-02-13 00:00:00,The integration is not syncing correctly.,Integration,59.32,True
ST000224,C0050,2026-02-13 00:00:00,We are having problems connecting our tools.,Integration,32.39,False
ST000225,C0050,2026-02-13 00:00:00,I have a question about the product.,Other,65.4,True
ST000226,C0051,2026-01-14 00:00:00,Something is not working correctly.,Bug,54.21,True
ST000227,C0051,2026-01-28 01:13:58,I was charged incorrectly this month.,Billing,46.45,True
ST000228,C0051,2026-01-14 00:00:00,The integration keeps failing.,Integration,14.58,True
ST000229,C0052,2026-03-28 06:02:22,The integration is not syncing correctly.,Integration,29.73,True
ST000230,C0052,2026-04-02 14:47:11,I have a question about the product.,Other,25.33,False
ST000231,C0052,2026-04-18 03:39:47,The integration keeps failing.,Integration,40.62,True
ST000232,C0052,2026-04-03 14:28:33,The application has become slower recently.,Performance,70.48,True
ST000233,C0052,2026-04-22 02:29:54,The dashboard is loading slowly.,Performance,10.12,True
ST000234,C0052,2026-01-15 10:01:50,I need help changing our account settings.,Account,33.67,True
ST000235,C0052,2026-03-30 07:11:25,The application shows an unexpected error.,Bug,37.39,False
ST000236,C0053,2026-04-25 22:25:26,I need help changing our account settings.,Account,68.63,False
ST000237,C0053,2026-03-29 01:37:17,I need help changing our account settings.,Account,67.82,True
ST000238,C0054,2026-04-18 13:45:15,Our integration stopped working.,Integration,56.07,True
ST000239,C0054,2026-01-15 00:50:29,The dashboard is loading slowly.,Performance,4.85,True
ST000240,C0054,2026-01-23 23:03:40,I cannot access my account.,Account,14.53,True
ST000241,C0054,2026-01-21 04:15:32,The dashboard is loading slowly.,Performance,37.99,True
ST000242,C0054,2026-03-06 23:40:43,The integration is not syncing correctly.,Integration,32.68,True
ST000243,C0054,2026-01-13 00:00:00,I need help with something.,Other,48.75,True
ST000244,C0054,2026-04-24 23:31:11,We are having problems connecting our tools.,Integration,23.81,True
ST000245,C0055,2026-03-07 03:39:10,The integration is not syncing correctly.,Integration,69.77,False
ST000246,C0055,2026-04-13 15:43:00,I have a question about the product.,Other,43.84,True
ST000247,C0055,2026-02-15 00:00:00,I have a question about the product.,Other,38.54,True
ST000248,C0056,2026-04-26 11:19:08,I have a question about the product.,Other,40.24,True
ST000249,C0056,2026-04-19 00:00:00,The integration is not syncing correctly.,Integration,64.8,True
ST000250,C0056,2026-04-19 00:00:00,The application shows an unexpected error.,Bug,50.86,False
ST000251,C0056,2026-04-19 00:00:00,I have a question about the product.,Other,3.53,True
ST000252,C0056,2026-04-19 00:00:00,I need help with something.,Other,18.98,False
ST000253,C0056,2026-04-19 00:00:00,I have a question about the product.,Other,6.06,True
ST000254,C0057,2026-04-02 16:38:44,I need help changing our account settings.,Account,69.37,True
ST000255,C0057,2026-02-14 00:00:00,I have a question about the product.,Other,25.51,True
ST000256,C0058,2026-03-26 04:23:37,The application has become slower recently.,Performance,13.66,True
ST000257,C0058,2026-03-19 00:00:00,I need help with something.,Other,29.62,True
ST000258,C0058,2026-03-19 00:00:00,I cannot access my account.,Account,62.72,False
ST000259,C0058,2026-03-19 00:00:00,I need help changing our account settings.,Account,29.46,True
ST000260,C0058,2026-04-24 20:03:15,I have a question about my invoice.,Billing,28.51,False
ST000261,C0059,2026-02-18 14:43:24,The integration keeps failing.,Integration,25.54,False
ST000262,C0059,2026-04-04 22:33:26,I need help with something.,Other,11.07,False
ST000263,C0059,2026-02-03 00:00:00,Something is not working correctly.,Bug,31.82,False
ST000264,C0060,2026-04-14 00:00:00,I need help with something.,Other,23.61,True
ST000265,C0060,2026-04-14 00:00:00,I have a question about the product.,Other,11.66,True
ST000266,C0060,2026-04-14 00:00:00,We are having problems connecting our tools.,Integration,9.69,False
ST000267,C0061,2026-03-26 22:03:00,I need help changing our account settings.,Account,54.18,True
ST000268,C0061,2026-03-07 06:14:02,It would be useful to have this feature.,Feature Request,35.51,False
ST000269,C0062,2026-04-04 00:00:00,The integration is not syncing correctly.,Integration,58.01,True
ST000270,C0062,2026-04-04 00:00:00,The integration keeps failing.,Integration,71.28,True
ST000271,C0063,2026-02-28 00:00:00,I cannot access my account.,Account,17.72,True
ST000272,C0063,2026-04-08 11:43:19,I have a question about my invoice.,Billing,60.11,True
ST000273,C0064,2026-04-27 14:14:56,I found a bug in the dashboard.,Bug,11.75,True
ST000274,C0064,2026-03-30 01:38:31,I need help with something.,Other,29.52,True
ST000275,C0064,2026-03-10 00:00:00,I need help changing our account settings.,Account,25.91,True
ST000276,C0064,2026-03-25 21:18:02,It would be useful to have this feature.,Feature Request,2.86,False
ST000277,C0064,2026-03-21 12:47:38,I have a question about my invoice.,Billing,14.55,True
ST000278,C0064,2026-03-10 00:00:00,The integration keeps failing.,Integration,53.69,True
ST000279,C0065,2026-01-23 04:24:44,I have a question about my invoice.,Billing,32.44,False
ST000280,C0065,2026-01-28 13:55:43,The application shows an unexpected error.,Bug,51.67,True
ST000281,C0065,2026-02-01 22:30:40,Why was my payment charged twice?,Billing,34.75,True
ST000282,C0065,2026-04-08 23:48:58,Can you add more options to the dashboard?,Feature Request,30.02,True
ST000283,C0065,2026-04-13 10:00:02,Can you add more options to the dashboard?,Feature Request,26.07,False
ST000284,C0066,2026-04-29 00:00:00,Can you add more options to the dashboard?,Feature Request,17.3,False
ST000285,C0066,2026-04-29 00:00:00,I need help with something.,Other,23.11,True
ST000286,C0066,2026-04-29 00:00:00,I found a bug in the dashboard.,Bug,1.88,False
ST000287,C0067,2026-04-15 18:03:19,The integration keeps failing.,Integration,58.78,True
ST000288,C0067,2026-02-18 00:00:00,It would be useful to have this feature.,Feature Request,38.24,True
ST000289,C0067,2026-03-21 15:42:23,The application shows an unexpected error.,Bug,51.55,True
ST000290,C0067,2026-04-17 11:53:28,The integration is not syncing correctly.,Integration,58.94,True
ST000291,C0067,2026-04-02 06:30:53,I have a question about the product.,Other,4.18,True
ST000292,C0067,2026-04-25 08:11:42,I cannot access my account.,Account,37.26,True
ST000293,C0067,2026-04-25 11:53:13,I need help changing our account settings.,Account,45.22,True
ST000294,C0068,2026-01-18 23:48:42,I have a question about the product.,Other,62.16,True
ST000295,C0069,2026-04-09 17:05:09,I need help with something.,Other,62.98,True
ST000296,C0069,2026-04-08 13:32:04,The integration keeps failing.,Integration,68.68,True
ST000297,C0069,2026-03-12 00:00:00,I have a question about the product.,Other,21.98,True
ST000298,C0069,2026-03-12 00:00:00,I have a question about my invoice.,Billing,69.2,True
ST000299,C0069,2026-04-28 13:38:35,We are having problems connecting our tools.,Integration,13.59,True
ST000300,C0069,2026-03-12 00:00:00,I was charged incorrectly this month.,Billing,44.18,True
ST000301,C0069,2026-03-12 00:00:00,I need help with something.,Other,38.64,True
ST000302,C0069,2026-03-12 00:00:00,I need help with something.,Other,44.5,True
ST000303,C0070,2026-04-02 00:05:18,I need help with something.,Other,64.85,True
ST000304,C0070,2026-03-22 02:23:10,The application has become slower recently.,Performance,16.96,True
ST000305,C0070,2026-02-07 00:00:00,Can you add more options to the dashboard?,Feature Request,40.69,True
ST000306,C0070,2026-04-11 06:55:06,I found a bug in the dashboard.,Bug,16.82,True
ST000307,C0071,2026-04-17 00:00:00,I cannot access my account.,Account,44.44,False
ST000308,C0071,2026-04-17 00:00:00,I need help changing our account settings.,Account,67.83,True
ST000309,C0071,2026-04-17 00:00:00,I found a bug in the dashboard.,Bug,14.35,True
ST000310,C0071,2026-04-17 00:00:00,I need help changing our account settings.,Account,61.86,True
ST000311,C0071,2026-04-17 00:00:00,The dashboard is loading slowly.,Performance,20.9,True
ST000312,C0072,2026-03-22 00:00:00,The integration is not syncing correctly.,Integration,25.45,False
ST000313,C0072,2026-03-22 00:00:00,I need help changing our account settings.,Account,25.67,True
ST000314,C0072,2026-03-22 00:00:00,Can you add more options to the dashboard?,Feature Request,30.56,False
ST000315,C0072,2026-03-22 00:00:00,Our integration stopped working.,Integration,39.87,True
ST000316,C0073,2026-03-21 00:00:00,Can you add more options to the dashboard?,Feature Request,20.13,False
ST000317,C0073,2026-03-21 00:00:00,I have a question about the product.,Other,66.95,True
ST000318,C0073,2026-04-26 07:52:20,I have a question about my invoice.,Billing,62.83,True
ST000319,C0073,2026-03-21 00:00:00,We are having problems connecting our tools.,Integration,67.62,True
ST000320,C0073,2026-03-21 00:00:00,I have a question about the product.,Other,19.66,True
ST000321,C0074,2026-04-24 00:00:00,I have a question about the product.,Other,46.42,False
ST000322,C0075,2026-04-21 00:00:00,We are having problems connecting our tools.,Integration,59.81,True
ST000323,C0075,2026-04-23 09:22:44,I need help with something.,Other,49.51,False
ST000324,C0075,2026-04-21 00:00:00,The integration keeps failing.,Integration,41.09,False
ST000325,C0075,2026-04-21 00:00:00,The dashboard is loading slowly.,Performance,24.14,False
ST000326,C0075,2026-04-21 02:11:19,I have a question about the product.,Other,42.81,True
ST000327,C0075,2026-04-21 00:00:00,I have a question about the product.,Other,63.68,False
